"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Steve Wilkerson","","109","380","349","81","17","1","9","39","36","22","104","5","4","4",".232",".286",".364",".650",".279","1.0","-1.1","0.0","999.0","16041"
"Justin Dean","Braves","95","440","395","82","13","8","6","46","34","38","134","6","23","11",".208",".286",".327",".613",".268","7.0","-0.4","0.0","999.0","sa3007070"
"Skye Bolt","Athletics","111","455","411","83","19","4","12","47","47","36","154","3","8","5",".202",".269",".355",".625",".267","9.0","-0.8","-0.1","999.0","17723"
"Lane Thomas","Cardinals","117","421","381","82","16","4","11","46","43","33","125","3","9","7",".215",".281",".365",".646",".277","2.0","-1.4","-0.1","599.2","16939"
"Anthony Alford","Pirates","104","359","326","71","16","2","9","41","32","26","109","5","19","5",".218",".285",".362",".647",".279","-1.0","1.5","-0.1","583.0","14329"
"Mark Zagunis","","109","408","352","81","18","1","10","46","40","48","124","5","7","3",".230",".329",".372",".701",".306","-2.0","-0.1","-0.1","999.0","16565"
"Ryan McBroom","Royals","124","463","424","103","21","1","17","51","48","31","126","5","1","2",".243",".300",".417",".718",".303","1.0","-0.9","-0.1","597.6","16524"
"Rusney Castillo","","113","471","448","121","25","1","9","50","44","17","72","4","7","6",".270",".301",".391",".692",".295","3.0","-1.4","-0.1","999.0","17016"
"Ka'ai Tom","Athletics","127","524","472","109","22","5","17","60","59","41","145","6","8","5",".231",".298",".407",".705",".298","1.0","-0.8","-0.1","999.0","sa875069"
"Joey Meneses","","122","480","443","115","22","1","12","52","53","33","114","1","0","0",".260",".311",".395",".706",".300","3.0","-0.2","-0.1","999.0","sa604598"
"Ben Gamel","","131","430","384","95","22","4","8","50","37","41","111","3","4","3",".247",".323",".388",".711",".306","-1.0","-0.7","-0.1","999.0","12160"
"Jake Fraley","Mariners","100","414","378","85","20","5","11","46","43","25","117","7","15","8",".225",".283",".392",".674",".285","1.0","-0.7","-0.1","999.0","19260"
"Phillip Ervin","Cubs","121","394","346","78","17","4","8","43","38","38","96","6","10","5",".225",".310",".367",".677",".294","2.0","-0.4","-0.1","999.0","14738"
"Cameron Maybin","","102","343","307","75","17","1","6","40","29","33","86","2","11","5",".244",".321",".365",".686",".299","0.0","-0.2","-0.1","999.0","5223"
"Justin Williams","Cardinals","101","386","355","87","15","1","11","41","41","26","98","2","4","2",".245",".299",".386",".685",".292","1.0","-0.3","-0.1","999.0","15490"
"Steven Duggar","Giants","106","389","355","83","20","3","6","40","39","30","118","2","8","5",".234",".296",".358",".653",".281","-1.0","-0.8","-0.1","999.0","17719"
"Zach McKinstry","Dodgers","106","407","372","84","16","4","10","43","43","29","113","4","4","5",".226",".288",".371",".659",".283","-1.0","-1.6","-0.1","999.0","19392"
"Nick Williams","White Sox","140","475","438","108","20","4","21","59","66","26","153","9","3","2",".247",".301",".454",".755",".316","-5.0","-0.5","-0.1","999.0","14330"
"Brian Goodwin","","122","402","360","82","21","2","16","49","48","35","128","3","8","2",".228",".299",".431",".730",".306","-2.0","0.6","-0.1","599.2","12858"
"Zack Granite","","118","497","464","116","15","4","4","50","33","27","54","2","18","8",".250",".293",".325",".618",".269","2.0","-0.1","-0.1","999.0","15343"
"Griffin Conine","","108","385","349","70","20","2","14","53","61","31","149","4","3","0",".201",".273",".390",".662",".280","3.0","0.5","-0.1","999.0","sa876060"
"Jaycob Brugman","Braves","92","372","340","78","14","2","14","40","47","29","108","2","2","1",".229",".293",".406",".699",".296","-3.0","-0.2","-0.2","999.0","14936"
"Luis Barrera","Athletics","106","434","406","93","17","8","5","41","36","21","105","3","12","8",".229",".271",".347",".618",".263","3.0","-1.3","-0.2","999.0","sa736690"
"Billy Hamilton","","127","407","370","84","12","5","3","56","20","30","91","0","32","9",".227",".283",".311",".594",".259","5.0","2.3","-0.2","600.0","10199"
"Daniel Johnson Jr.","Indians","115","487","446","105","21","4","14","53","49","31","133","6","11","6",".235",".292",".395",".687",".290","3.0","-0.6","-0.2","594.2","19643"
"Yusniel Diaz","Orioles","108","458","414","101","19","5","14","53","54","41","108","2","3","8",".244",".314",".415",".730",".310","-4.0","-3.1","-0.2","999.0","sa912848"
"Matt Joyce","","110","318","273","64","12","0","7","38","29","43","76","0","1","1",".234",".336",".355",".692",".305","-4.0","-0.4","-0.2","999.0","3353"
"Luke Raley","Dodgers","110","482","442","100","15","5","16","57","60","23","156","14","5","1",".226",".284",".391",".676",".286","2.0","0.3","-0.2","999.0","sa918048"
"Jack Reinheimer","","112","432","390","89","15","2","5","45","31","34","96","2","12","5",".228",".290",".315",".605",".265","0.0","0.0","-0.2","999.0","14938"
"Ramon Flores","","66","278","243","60","9","2","4","30","23","30","51","1","4","2",".247",".330",".350",".680",".297","-2.0","-0.2","-0.2","999.0","11165"
"Luis Gonzalez","White Sox","115","485","441","96","18","3","10","50","45","34","123","4","8","6",".218",".277",".340",".617",".265","3.0","-1.2","-0.2","999.0","20332"
"Luis Alexander Basabe","Giants","105","415","369","77","13","4","7","45","33","38","141","2","14","8",".209",".285",".322",".607",".265","4.0","-0.9","-0.2","999.0","17839"
"Abraham Almonte","Braves","96","315","277","63","16","4","8","40","33","36","71","1","9","5",".227",".317",".401",".718",".307","-7.0","-0.5","-0.2","999.0","5486"
"Eric Filia","Mariners","94","409","366","93","18","1","5","43","33","37","49","3","3","2",".254",".325",".350",".675",".293","-3.0","-0.5","-0.2","999.0","sa827359"
"Jose Marmolejos","Mariners","118","454","420","99","19","2","14","49","54","30","116","2","0","1",".236",".289",".390",".679",".288","2.0","-0.6","-0.2","598.8","15767"
"Albert Almora Jr.","","141","346","319","79","14","2","8","40","31","19","62","2","3","1",".248",".292",".379",".672",".284","-2.0","0.0","-0.2","999.0","14109"
"Kyle Isbel","","73","316","296","67","15","2","8","33","31","16","85","2","15","7",".226",".270",".372",".641",".272","0.0","-0.2","-0.2","999.0","sa3006861"
"Travis Demeritte","Tigers","126","469","419","91","20","3","16","58","53","43","158","4","4","3",".217",".295",".394",".689",".294","-1.0","-0.7","-0.2","999.0","15958"
"Dwight Smith Jr.","","110","415","373","91","22","2","13","48","48","33","96","4","7","3",".244",".309",".418",".727",".307","-3.0","-0.1","-0.2","999.0","13473"
"Mikie Mahtook","","119","461","418","94","14","3","19","53","65","34","131","5","8","4",".225",".289",".409",".698",".295","1.0","-0.4","-0.2","999.0","13130"
"Rosell Herrera","","119","393","357","83","17","3","6","39","38","30","91","3","11","5",".232",".297",".347",".644",".279","-3.0","-0.2","-0.2","999.0","11611"
"Guillermo Heredia","Mets","109","320","284","65","12","1","8","36","28","24","64","7","3","3",".229",".303",".363",".666",".289","-5.0","-0.9","-0.3","999.0","18721"
"Josh Palacios","Blue Jays","110","486","440","94","18","3","10","49","44","39","141","4","11","7",".214",".282",".336",".619",".268","2.0","-1.1","-0.3","999.0","sa829562"
"Ben DeLuzio","Diamondbacks","108","425","386","86","16","5","4","41","27","28","116","7","20","10",".223",".285",".321",".607",".264","6.0","-0.6","-0.3","999.0","sa737626"
"Chris Shaw","","133","523","483","118","24","2","23","61","77","31","153","6","1","1",".244",".296",".445",".742",".309","-8.0","-0.5","-0.3","999.0","17738"
"Willie Calhoun","Rangers","132","528","485","123","23","3","20","59","72","36","81","4","2","1",".254",".309",".437",".746",".313","-5.0","-0.3","-0.3","363.0","17838"
