"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Cooper Hummel","","110","407","344","67","12","2","11","46","37","53","135","9","3","4",".195",".317",".337",".654",".291","-1.0","-1.4","-0.7","999.0","sa918412"
"Jason Delay","Pirates","76","288","264","50","8","1","6","26","25","16","80","6","1","0",".189",".251",".295",".546",".238","0.0","0.1","-0.7","999.0","sa857222"
"Beau Taylor","Indians","84","316","276","52","11","1","5","29","25","34","100","2","0","0",".188",".280",".290",".570",".253","-4.0","-0.2","-0.7","999.0","12384"
"Rafael Marchan","Phillies","73","296","273","60","12","0","0","24","15","18","42","3","4","6",".220",".274",".264",".537",".238","2.0","-2.0","-0.8","999.0","21646"
"Christopher Bec","Blue Jays","71","267","236","45","9","1","4","24","21","26","74","1","15","3",".191",".271",".288",".559",".248","-7.0","1.6","-0.8","999.0","sa3006727"
"Kungkuan Giljegiljaw","","98","391","363","78","16","0","11","38","38","22","117","4","0","0",".215",".266",".350",".616",".263","-7.0","-0.2","-0.8","999.0","sa830277"
"Tuffy Gosewisch","","74","239","217","38","8","0","4","20","17","15","71","5","0","1",".175",".244",".267",".511",".227","1.0","-0.5","-0.8","999.0","5277"
"Drew Butera","","81","215","192","39","10","1","3","23","20","17","56","1","0","0",".203",".268",".313",".580",".250","-1.0","-0.1","-0.8","999.0","3411"
"Alberto Rosario","","57","205","192","42","4","0","1","17","11","10","43","1","0","1",".219",".260",".255",".515",".226","-1.0","-0.5","-0.9","999.0","7125"
"Mac James","","76","272","248","51","6","0","3","24","17","20","61","1","1","3",".206",".265",".266",".531",".236","-3.0","-1.2","-1.0","999.0","sa829039"
"Francisco Arcia","","84","286","267","55","8","0","4","23","23","10","64","6","1","2",".206",".250",".281",".531",".231","-3.0","-0.8","-1.0","999.0","10286"
"Payton Henry","","119","471","429","78","15","2","13","43","45","26","185","13","1","2",".182",".248",".317",".565",".244","1.0","-0.9","-1.0","999.0","sa918019"
"Joseph Odom","","93","318","295","55","12","0","5","24","26","19","115","1","1","1",".186",".237",".278",".515",".225","-2.0","-0.4","-1.0","999.0","15535"
"Jack Kruger","","103","438","410","86","14","1","6","38","31","23","105","4","3","3",".210",".258",".293",".551",".240","-4.0","-0.9","-1.1","999.0","sa918429"
"Chris Okey","Reds","86","322","295","52","9","1","9","28","30","22","122","3","1","0",".176",".240",".305",".545",".237","-2.0","0.1","-1.1","999.0","sa738505"
"Joey Morgan","","88","316","285","50","9","1","5","25","20","22","93","5","0","0",".175",".245",".267",".512",".226","-2.0","-0.1","-1.2","999.0","sa3004032"
"Jeff Mathis","","81","228","212","37","6","1","5","16","19","14","84","0","2","0",".175",".224",".283",".507",".219","-2.0","0.3","-1.2","999.0","3448"
"Henri Lartigue","White Sox","96","371","339","61","10","2","8","33","35","28","133","2","2","2",".180",".246",".292",".538",".234","-1.0","-0.6","-1.2","999.0","sa918028"
"Nick Meyer","Mets","62","220","204","36","4","1","1","16","9","12","53","2","6","2",".176",".228",".221",".449",".202","-2.0","0.2","-1.2","999.0","sa3007826"
"J.D. Osborne","","67","269","247","45","9","0","5","23","22","13","82","6","2","0",".182",".238",".279",".517",".226","-5.0","0.3","-1.2","999.0","sa3005053"
"KJ Harrison","","125","507","458","94","24","1","16","53","57","43","165","4","1","2",".205",".278",".367",".645",".277","4.0","-0.9","-1.3","999.0","sa829382"
"Israel Pineda","","88","359","333","66","9","0","8","34","28","20","109","3","1","2",".198",".249",".297",".546",".238","-2.0","-0.8","-1.3","999.0","sa3004385"
"Kellin Deglan","","74","280","259","45","8","1","8","24","26","14","115","5","1","1",".174",".229",".305",".534",".231","-6.0","-0.3","-1.3","999.0","sa548189"
"Brady Policelli","","95","386","357","75","15","4","8","37","35","23","100","4","10","7",".210",".264",".342",".606",".260","-12.0","-1.2","-1.3","999.0","sa918279"
"Josh Thole","","71","247","218","40","5","0","2","20","15","23","68","2","1","0",".183",".264",".234",".498",".228","-7.0","0.1","-1.3","999.0","9689"
"Donny Sands","Yankees","85","323","301","59","12","1","4","26","23","18","92","2","0","4",".196",".245",".282",".527",".230","-4.0","-1.9","-1.4","999.0","sa875201"
"Ryan Casteel","","110","442","411","88","20","2","16","44","60","27","134","1","1","1",".214",".262",".389",".652",".273","1.0","-0.4","-1.4","999.0","sa549286"
"Deon Stafford","","91","370","339","65","12","2","7","34","30","26","127","2","1","2",".192",".252",".301",".553",".241","-6.0","-0.8","-1.4","999.0","sa915865"
"Caleb Hamilton","","100","385","348","65","16","1","7","36","33","33","119","2","4","4",".187",".260",".299",".559",".244","-9.0","-1.1","-1.5","999.0","sa738961"
"Fabian Pena","Giants","61","242","224","44","13","0","6","21","26","12","55","2","2","2",".196",".242",".335",".576",".245","-12.0","-0.6","-1.6","999.0","sa3007303"
"Sebastian Rivero","Royals","110","396","366","70","17","1","4","30","27","16","105","4","1","3",".191",".231",".276",".507",".220","-1.0","-1.3","-1.7","999.0","sa917021"
