"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Christian Arroyo","Red Sox","55","219","198","51","10","1","7","26","26","15","49","2","2","1","",".257",".313",".421",".734",".311","","88","0.1","-1.1","","-3.3","-0.1","0.4","","999.0","16434"
"Taylor Ward","Angels","53","215","187","45","8","1","7","25","25","23","59","2","3","1","",".240",".328",".401",".729",".314","","96","0.3","-0.2","","-0.6","-2.9","0.4","","999.0","17548"
"Mike Brosseau","Rays","37","156","141","35","7","1","5","18","19","11","38","2","2","1","",".248",".309",".418",".727",".308","","94","0.0","0.4","","-1.2","-0.7","0.4","","999.0","19683"
"Renato Nunez","","126","539","480","115","22","1","25","66","76","46","140","8","1","1","",".240",".313",".448",".761",".321","","97","-0.6","0.7","","-2.4","-12.4","0.3","","999.0","14503"
"Johan Camargo","Braves","38","152","137","35","8","0","5","17","18","11","33","2","1","0","",".254",".315",".424",".739",".312","","89","0.0","0.0","","-2.2","-0.3","0.2","","999.0","14950"
"Isiah Kiner-Falefa","Rangers","141","577","521","135","24","4","8","59","54","40","98","8","14","6","",".259",".319",".369",".688",".297","","74","-0.2","-6.1","","-19.4","1.0","0.2","","999.0","16512"
"Yu-Cheng Chang","Indians","104","417","371","85","19","2","12","46","45","36","106","4","4","2","",".228",".300",".381",".681",".292","","76","-0.2","-1.5","","-13.2","0.4","0.2","","999.0","14773"
"Edwin Rios","Dodgers","99","394","358","80","16","1","18","47","52","25","141","5","2","1","",".223",".280",".428",".708",".296","","84","-0.1","-3.4","","-8.3","-2.9","0.2","","999.0","18316"
"Abraham Toro","Astros","32","131","116","28","6","1","4","15","16","11","27","2","1","1","",".244",".316",".417",".734",".312","","96","0.1","0.2","","-0.5","-2.6","0.2","","999.0","19844"
"Greg Garcia","","28","114","97","23","4","1","1","12","9","14","26","1","1","0","",".235",".336",".332",".668",".297","","81","0.2","-0.2","","-2.6","0.2","0.1","","999.0","10951"
"Luis Guillorme","Mets","38","149","130","32","6","0","2","15","13","15","28","1","2","1","",".246",".329",".345",".674",".297","","86","0.0","-0.4","","-2.7","-0.6","0.1","","999.0","16451"
"Phillip Evans","Pirates","51","209","187","48","9","1","5","23","22","17","40","3","2","1","",".257",".325",".402",".727",".312","","92","0.0","-0.4","","-2.3","-3.2","0.1","","999.0","12950"
"Miguel Andujar","Yankees","19","79","73","20","4","0","3","10","11","4","14","1","0","0","",".268",".311",".471",".782",".326","","103","0.0","-1.3","","0.3","-2.1","0.1","","999.0","15878"
"Zach Green","","13","52","47","10","2","0","2","6","7","4","18","1","0","0","",".222",".294",".427",".721",".303","","83","0.0","-0.1","","-1.1","0.1","0.1","","999.0","14973"
"Andy Young","Diamondbacks","15","61","54","13","2","0","2","7","7","4","15","2","0","0","",".240",".307",".420",".728",".309","","88","0.0","-0.4","","-1.0","-0.4","0.1","","999.0","19521"
"Kelvin Gutierrez","Royals","19","79","71","17","3","0","2","8","8","6","20","1","1","1","",".244",".305",".365",".669",".289","","75","0.1","-0.2","","-2.4","0.1","0.1","","999.0","17468"
"Wyatt Mathisen","Diamondbacks","25","100","87","20","4","0","3","11","11","9","29","2","1","0","",".226",".312",".399",".711",".305","","85","0.0","0.1","","-1.9","-0.9","0.0","","999.0","14555"
"Ehire Adrianza","","44","176","157","37","8","1","3","18","17","15","39","2","2","1","",".236",".307",".355",".662",".287","","75","0.1","-1.1","","-5.6","0.0","0.0","","999.0","8418"
"Sergio Alcantara","Tigers","32","129","115","28","5","1","2","13","11","11","24","1","2","1","",".246",".314",".339",".653",".286","","74","0.1","-0.8","","-4.2","0.0","0.0","","999.0","16417"
"Matt Thaiss","Angels","21","84","74","17","3","0","2","9","9","8","21","1","1","0","",".228",".305",".379",".684",".294","","83","0.0","0.0","","-1.8","-1.1","0.0","","999.0","19318"
"Daniel Robertson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".240",".338",".365",".703",".309","","90","0.0","0.0","","0.0","0.0","0.0","","999.0","14145"
"Christian Villanueva","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".297",".427",".724",".306","","87","0.0","0.0","","0.0","0.0","0.0","","999.0","11738"
"Matt Reynolds","White Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".312",".352",".665",".290","","80","0.0","0.0","","0.0","0.0","0.0","","999.0","13788"
"Christian Colon","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".260",".323",".369",".692",".300","","84","0.0","0.0","","0.0","0.0","0.0","","999.0","11145"
"David Freese","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".254",".333",".419",".752",".321","","98","0.0","0.0","","0.0","0.0","0.0","","999.0","9549"
"Adrian Beltre","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".294",".376",".670",".287","","75","0.0","0.0","","0.0","0.0","0.0","","999.0","639"
"Ryan Schimpf","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".294",".415",".710",".301","","84","0.0","0.0","","0.0","0.0","0.0","","999.0","9953"
"Jae-Gyun Hwang","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".299",".385",".684",".292","","78","0.0","0.0","","0.0","0.0","0.0","","999.0","19369"
"Brandon Drury","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".291",".378",".669",".286","","74","0.0","0.0","","0.0","0.0","0.0","","999.0","11615"
"Dawel Lugo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".257",".292",".378",".670",".284","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","14713"
"Mitch Walding","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".194",".302",".347",".649",".284","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","13006"
"Ryon Healy","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".251",".300",".457",".757",".317","","92","0.0","0.0","","0.0","0.0","0.0","","999.0","15447"
"Jung Ho Kang","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".277",".411",".688",".290","","77","0.0","0.0","","0.0","0.0","0.0","","999.0","17182"
"Danny Valencia","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".309",".403",".713",".304","","86","0.0","0.0","","0.0","0.0","0.0","","999.0","6364"
"Jose Reyes","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".292",".353",".645",".278","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","1736"
"Kaleb Cowart","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".280",".338",".617",".267","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","11494"
"Yangervis Solarte","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".294",".388",".682",".290","","77","0.0","0.0","","0.0","0.0","0.0","","999.0","5352"
"Cheslor Cuthbert","Reds","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".298",".399",".697",".296","","77","0.0","0.0","","0.0","0.0","0.0","","999.0","10473"
"Erick Mejia","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".291",".334",".625",".272","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","15817"
"T.J. Rivera","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".251",".295",".367",".663",".283","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","12495"
"Jesmuel Valentin","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".294",".331",".625",".273","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","14548"
"Andres Blanco","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".294",".347",".641",".279","","70","0.0","0.0","","0.0","0.0","0.0","","999.0","1907"
"Chris Coghlan","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".294",".354",".648",".281","","71","0.0","0.0","","0.0","0.0","0.0","","999.0","6878"
"Cory Spangenberg","Brewers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".290",".362",".651",".280","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","12294"
"Ryan Flaherty","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".294",".336",".630",".272","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","7888"
