"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Brett Pope","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".292",".321",".613",".268","","62","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004513"
"Jordan Gore","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".285",".321",".606",".264","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004127"
"Elliot Soto","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".291",".326",".618",".270","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","11155"
"Wilmer Difo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".298",".335",".632",".274","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","14320"
"Ivan Castillo","Padres","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".248",".288",".354",".642",".275","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","sa657222"
"Rayder Ascanio","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".285",".324",".609",".265","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","sa735861"
"Joe Dunand","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".277",".329",".606",".262","","62","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3005360"
"Michael Perri","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".275",".339",".614",".264","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007280"
"Peter Maris","Giants","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".289",".335",".623",".271","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa877608"
"Ryan Howard","Giants","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".280",".323",".604",".261","","61","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa857225"
"Tzu-Wei Lin","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".235",".296",".339",".636",".276","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","14678"
"Luis Carpio","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".288",".328",".615",".269","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa827960"
"Jose Martinez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".286",".314",".600",".263","","59","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa736960"
"C.J. Hinojosa","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".242",".298",".345",".643",".278","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa658616"
"David Masters","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".278",".325",".603",".263","","59","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa602586"
"Jose Reyes","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".292",".353",".645",".278","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","1736"
"Kevin Merrell","Royals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".280",".327",".606",".261","","57","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa915707"
