"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Franmil Reyes","Indians","150","631","557","146","25","1","37","88","98","63","168","4","1","0","",".262",".338",".509",".847",".352","","116","-1.1","0.0","","11.8","-17.5","1.6","","999.0","14566"
"Anthony Santander","Orioles","146","639","587","154","33","2","30","83","90","38","124","6","5","2","",".263",".312",".481",".793",".328","","102","0.3","-0.2","","1.9","-8.4","1.6","","999.0","14551"
"Austin Hays","Orioles","126","528","486","124","23","1","22","64","66","29","113","6","11","5","",".256",".304",".443",".747",".314","","92","0.6","0.8","","-4.5","1.9","1.6","","999.0","19363"
"Adam Eaton","White Sox","126","566","492","127","24","4","14","75","59","57","105","10","10","3","",".258",".344",".410",".754",".325","","104","1.0","-1.6","","3.7","-7.8","1.5","","999.0","11205"
"Kyle Lewis","Mariners","149","650","576","133","24","1","22","71","75","63","188","4","6","3","",".231",".309",".393",".702",".301","","89","1.0","-2.3","","-8.0","0.1","1.5","","999.0","19508"
"Austin Meadows","Rays","113","507","450","115","24","3","22","69","65","45","120","6","11","4","",".256",".328",".469",".797",".333","","111","0.4","-1.7","","7.6","-10.4","1.5","","999.0","15672"
"Jason Heyward","Cubs","134","556","480","120","21","3","16","65","62","64","103","5","5","2","",".251",".343",".410",".753",".323","","97","1.3","4.0","","-0.6","-2.7","1.4","","999.0","4940"
"Ryan Mountcastle","Orioles","138","578","535","148","27","1","26","70","82","32","131","5","3","1","",".277",".322",".476",".798",".334","","106","0.1","0.3","","4.5","-10.2","1.4","","999.0","18373"
"Jackie Bradley Jr.","","143","561","487","110","22","2","20","65","65","56","150","10","10","4","",".226",".315",".402",".717",".306","","88","1.9","0.1","","-7.0","2.5","1.4","","999.0","12984"
"Josh Naylor","Indians","125","510","454","127","25","2","18","65","66","45","80","4","4","2","",".279",".346",".459",".806",".340","","108","0.5","-1.4","","5.5","-9.1","1.4","","999.0","18839"
"Justin Upton","Angels","136","572","498","118","21","1","28","73","81","60","168","9","5","2","",".238",".327",".452",".780",".330","","108","0.1","-4.5","","5.6","-11.7","1.4","","999.0","5222"
"Eddie Rosario","","126","540","499","135","26","1","26","69","83","33","92","2","4","2","",".271",".317",".484",".801",".332","","105","1.0","-1.6","","4.5","-8.8","1.4","","999.0","12155"
"Chad Pinder","Athletics","122","499","450","112","23","1","19","59","63","36","123","7","2","1","",".249",".312",".433",".745",".315","","98","-0.7","-7.1","","-1.7","-2.0","1.4","","999.0","15191"
"Manuel Margot","Rays","104","425","382","97","19","2","11","49","46","34","79","3","18","7","",".253",".318",".398",".716",".306","","92","1.2","4.7","","-2.9","1.6","1.3","","999.0","14712"
"Daulton Varsho","Diamondbacks","93","374","334","86","17","3","13","46","45","30","74","5","10","4","",".257",".324",".440",".765",".323","","97","0.4","0.3","","-1.0","2.0","1.3","","999.0","19918"
"Alex Dickerson","Giants","105","451","402","111","23","3","17","58","59","38","92","6","2","1","",".276",".345",".478",".823",".344","","115","-0.4","-4.7","","8.6","-10.2","1.3","","999.0","12649"
"Andrew McCutchen","Phillies","138","628","534","132","24","1","26","87","70","78","141","7","9","4","",".246",".347",".443",".790",".337","","107","-1.2","-4.8","","4.3","-11.7","1.3","","999.0","9847"
"Victor Robles","Nationals","149","594","529","133","28","2","16","68","65","39","134","17","22","9","",".251",".320",".402",".722",".308","","86","1.4","0.9","","-9.7","3.4","1.3","","999.0","18363"
"Mitch Haniger","Mariners","138","615","534","127","26","2","24","79","69","63","160","9","7","3","",".238",".326",".430",".757",".321","","103","-0.4","-0.2","","2.1","-11.1","1.2","","999.0","14274"
"Jordan Luplow","Indians","105","433","376","93","20","2","16","53","55","47","97","4","6","3","",".246",".334",".440",".774",".329","","100","0.1","2.6","","0.3","-3.0","1.2","","999.0","16424"
"Adam Frazier","Pirates","110","480","430","114","23","2","10","56","46","37","70","6","6","3","",".265",".330",".401",".731",".314","","93","0.7","-1.1","","-3.8","0.8","1.2","","999.0","15223"
"Clint Frazier","Yankees","141","579","510","125","26","2","25","73","79","55","154","7","6","3","",".245",".324",".451",".775",".327","","103","-0.4","-3.6","","2.1","-10.7","1.2","","999.0","15983"
"Enrique Hernandez","","79","326","286","71","15","2","13","41","41","32","66","3","2","1","",".249",".328",".448",".775",".327","","101","0.6","-2.0","","1.2","-0.4","1.1","","999.0","10472"
"David Peralta","Diamondbacks","130","553","499","135","27","3","18","64","70","43","120","5","2","1","",".270",".331",".443",".774",".327","","99","-0.3","0.6","","-0.7","-5.4","1.1","","999.0","2136"
