"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Garrett Stubbs","Astros","50","204","182","40","8","1","4","21","19","17","43","2","4","2","",".221",".294",".335",".629",".274","","71","0.3","-0.1","","-7.3","3.2","0.3","","999.0","18067"
"Tres Barrera","Nationals","39","160","145","35","7","0","4","16","16","11","33","2","1","1","",".239",".299",".367",".667",".287","","72","0.1","0.0","","-5.9","3.3","0.2","","999.0","19977"
"Grayson Greiner","Tigers","68","266","236","52","10","1","7","27","27","23","77","2","1","1","",".220",".293",".362",".656",".283","","72","0.0","-0.5","","-9.4","5.1","0.2","","999.0","17062"
"Tony Wolters","","57","223","195","44","9","1","3","22","19","20","46","4","1","1","",".228",".311",".323",".633",".278","","69","-0.1","0.9","","-9.0","5.7","0.2","","999.0","11470"
"Rene Rivera","","23","92","83","18","3","0","4","10","11","6","29","1","1","0","",".220",".277",".391",".667",".283","","72","-0.3","0.4","","-3.6","2.3","0.2","","999.0","3648"
"Jose Trevino","Rangers","108","425","396","96","21","1","9","42","43","20","85","3","4","1","",".242",".281",".369",".651",".277","","61","-0.7","0.8","","-22.1","8.1","0.2","","999.0","16725"
"Isiah Kiner-Falefa","Rangers","141","577","521","135","24","4","8","59","54","40","98","8","14","6","",".259",".319",".369",".688",".297","","74","-0.2","-6.1","","-19.4","1.0","0.2","","999.0","16512"
"Francisco Mejia","Padres","42","170","156","38","8","1","5","19","20","10","36","2","1","0","",".244",".297",".407",".704",".298","","84","0.1","-0.3","","-3.6","2.3","0.2","","999.0","16403"
"Tomas Nido","Mets","44","172","158","35","7","0","5","17","18","10","43","1","1","0","",".221",".271",".358",".629",".267","","66","-0.2","-1.5","","-7.8","2.1","0.2","","999.0","13755"
"Sandy Leon","","24","94","84","18","3","0","2","9","9","8","25","1","1","0","",".211",".284",".344",".628",".272","","65","-0.3","0.0","","-4.5","2.0","0.2","","999.0","5273"
"Jorge Alfaro","Marlins","78","315","288","66","11","1","10","31","33","16","106","7","3","1","",".230",".286",".376",".662",".281","","74","-0.6","-1.2","","-11.3","5.3","0.2","","999.0","12180"
"Alex Jackson","Braves","40","161","145","30","6","0","7","18","20","10","55","3","1","0","",".207",".270",".402",".672",".282","","70","0.0","0.0","","-6.4","2.6","0.2","","999.0","17276"
"Chance Sisco","Orioles","71","290","249","57","11","0","9","32","32","29","87","8","1","1","",".229",".326",".390",".716",".310","","90","-0.1","-0.7","","-3.7","4.2","0.2","","999.0","15694"
"Keibert Ruiz","Dodgers","12","48","44","11","2","0","1","5","5","3","6","1","0","0","",".252",".307",".393",".700",".298","","85","0.0","0.0","","-0.9","1.0","0.2","","999.0","19610"
"Robinson Chirinos","","60","238","204","43","9","1","8","26","25","24","73","6","1","1","",".208",".307",".370",".677",".294","","80","-1.1","-0.7","","-7.4","4.3","0.1","","999.0","3142"
"Willians Astudillo","Twins","6","25","23","7","1","0","1","3","3","1","2","0","0","0","",".287",".322",".452",".774",".325","","101","0.0","0.0","","0.0","0.5","0.1","","999.0","15608"
"Cal Raleigh","","11","43","39","9","2","0","2","5","5","3","10","0","0","0","",".223",".282",".400",".681",".287","","80","0.0","0.0","","-1.1","0.9","0.1","","999.0","sa3008377"
"Austin Allen","Athletics","9","36","32","8","2","0","1","4","4","2","9","0","0","0","",".233",".289",".392",".682",".287","","80","0.0","-0.1","","-0.9","0.7","0.1","","999.0","18083"
"Bryan Holaday","","23","90","81","19","4","0","2","9","9","7","18","1","1","0","",".234",".300",".367",".667",".285","","74","-0.3","0.6","","-3.3","2.5","0.1","","999.0","11287"
"Chris Herrmann","","15","60","52","11","2","0","2","6","6","7","18","0","0","0","",".205",".298",".348",".646",".282","","71","0.0","0.2","","-2.2","1.4","0.1","","999.0","9284"
"Christian Bethancourt","","11","43","40","9","2","0","2","5","5","2","11","0","0","0","",".230",".275",".401",".676",".285","","72","0.0","0.0","","-1.6","0.9","0.1","","999.0","10028"
"Beau Taylor","Indians","15","59","51","10","2","0","1","6","5","7","19","1","0","0","",".204",".301",".311",".611",".271","","61","0.0","0.2","","-2.9","1.4","0.1","","999.0","12384"
"Connor Wong","Red Sox","8","31","28","6","1","0","1","3","4","2","9","0","0","0","",".229",".285",".389",".674",".286","","71","0.0","0.0","","-1.1","0.6","0.1","","999.0","sa873978"
"Elias Diaz","Rockies","86","340","309","85","17","1","8","38","38","24","61","3","2","1","",".277",".332",".417",".749",".319","","81","-0.5","-1.3","","-9.1","5.9","0.1","","999.0","11680"
"Andrew Knapp","Phillies","102","409","348","75","15","2","9","42","38","51","121","5","2","1","",".215",".321",".341",".662",".291","","76","0.2","-3.1","","-12.7","5.5","0.1","","999.0","14942"
"Jonathan Lucroy","","30","122","110","25","5","0","3","12","12","10","22","1","0","0","",".230",".298",".352",".649",".281","","71","-0.6","0.4","","-5.2","2.9","0.1","","999.0","7870"
"Eric Haase","Tigers","8","30","27","6","1","0","1","3","4","2","10","0","0","0","",".207",".274",".402",".676",".285","","74","0.0","-0.1","","-1.0","0.5","0.1","","999.0","14111"
"Deivy Grullon","Reds","6","24","22","5","1","0","1","3","3","2","7","0","0","0","",".229",".288",".407",".695",".294","","76","0.0","0.0","","-0.8","0.5","0.0","","999.0","15988"
"William Contreras","Braves","9","36","33","8","2","0","1","4","4","2","8","0","0","0","",".236",".291",".361",".652",".280","","68","0.0","0.0","","-1.5","0.7","0.0","","999.0","20503"
"Seby Zavala","White Sox","5","18","16","3","1","0","1","2","2","1","6","0","0","0","",".207",".269",".363",".632",".270","","67","0.0","0.0","","-0.8","0.4","0.0","","999.0","18887"
"Jack Kruger","","5","18","17","4","1","0","0","2","2","1","4","0","0","0","",".226",".280",".322",".602",".261","","61","0.0","0.0","","-0.9","0.4","0.0","","999.0","sa918429"
"Patrick Mazeika","Mets","2","6","5","1","0","0","0","1","1","0","1","0","0","0","",".217",".287",".352",".639",".276","","72","0.0","0.0","","-0.2","0.1","0.0","","999.0","sa827167"
"Samuel Huff","Rangers","6","24","22","5","1","0","1","3","3","1","7","0","0","0","",".237",".287",".424",".711",".298","","74","0.0","-0.1","","-0.8","0.4","0.0","","999.0","22209"
"P.J. Higgins","","5","18","16","4","1","0","0","2","2","1","4","0","0","0","",".223",".291",".324",".615",".269","","62","0.0","0.0","","-0.9","0.4","0.0","","999.0","sa875573"
"Ali Sanchez","Mets","3","12","11","2","0","0","0","1","1","1","2","0","0","0","",".224",".279",".324",".602",".260","","62","0.0","0.0","","-0.6","0.2","0.0","","999.0","18551"
"David Freitas","Brewers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".254",".326",".382",".708",".305","","85","0.0","0.0","","0.0","0.0","0.0","","999.0","10619"
"Xavier Fernandez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".248",".301",".392",".693",".295","","80","0.0","0.0","","0.0","0.0","0.0","","999.0","sa737922"
"Francisco Cervelli","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".329",".379",".708",".308","","89","0.0","0.0","","0.0","0.0","0.0","","999.0","5275"
"Brett Cumberland","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".308",".371",".679",".294","","79","0.0","0.0","","0.0","0.0","0.0","","999.0","sa915611"
"Erik Kratz","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".295",".379",".675",".289","","76","0.0","0.0","","0.0","0.0","0.0","","999.0","4403"
"Brian McCann","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".303",".375",".678",".292","","79","0.0","0.0","","0.0","0.0","0.0","","999.0","4810"
"Lorenzo Quintana","Astros","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".274",".386",".661",".280","","74","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3005394"
"Riley Adams","Blue Jays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".296",".354",".650",".282","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829749"
"Jamie Ritchie","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".305",".320",".625",".277","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829058"
"Austin Wynns","","3","12","11","2","0","0","0","1","1","1","3","0","0","0","",".225",".291",".335",".627",".273","","65","0.0","0.0","","-0.5","0.2","0.0","","999.0","15271"
"Jose Godoy","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".298",".351",".649",".282","","74","0.0","0.0","","0.0","0.0","0.0","","999.0","sa657267"
"Ben Rortvedt","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".293",".356",".649",".279","","70","0.0","0.0","","0.0","0.0","0.0","","999.0","sa917942"
"Brian O'Keefe","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".290",".358",".649",".280","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829152"
"Hector Sanchez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".280",".405",".685",".289","","76","0.0","0.0","","0.0","0.0","0.0","","999.0","10289"
"Michael De La Cruz","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".293",".341",".634",".276","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","sa736830"
"Rob Brantly","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".297",".353",".650",".279","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","10655"
"Julio Rodriguez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".235",".280",".372",".652",".277","","71","0.0","0.0","","0.0","0.0","0.0","","999.0","sa917669"
"Jhonny Pereda","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".306",".337",".643",".280","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa735866"
"Dominic Miroglio","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".240",".295",".360",".655",".282","","70","0.0","0.0","","0.0","0.0","0.0","","999.0","sa739013"
"Kade Scivicque","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".288",".358",".646",".277","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","sa875053"
"Dan Butler","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".297",".340",".638",".279","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","9968"
"Jhon Nunez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".235",".289",".353",".642",".277","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","sa736923"
"Carlos Garay","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".249",".290",".352",".643",".276","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","sa657431"
"Caleb Hamilton","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".286",".343",".629",".272","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","sa738961"
"Ryan Lavarnway","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".300",".357",".657",".285","","74","0.0","0.0","","0.0","0.0","0.0","","999.0","8879"
"Freddy Fermin","Royals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".280",".359",".639",".273","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","sa918173"
"Nick Dini","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".291",".383",".674",".287","","74","0.0","0.0","","0.0","0.0","0.0","","999.0","18206"
"Raudy Read","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".235",".281",".389",".670",".282","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","15766"
"Carlos Perez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".282",".361",".643",".276","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","10642"
"Julian Leon","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".196",".290",".331",".621",".273","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","sa739577"
"Rene Pinto","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".277",".331",".608",".264","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","sa826668"
