Rank	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
139	Corbin, Patrick	WAS	P	138.72	93	188		174		
140	Alcantara, Sandy	MIA	P	140.19	108	183		174		
141	Hayes, Ke'Bryan	PIT	3B	141.82	99	210		174		
142	Laureano, Ramon	OAK	OF	143.28	110	192		174		
143	Soler, Jorge	KC	OF	144.15	104	189		174		
144	Vazquez, Christian	BOS	C	147.59	104	179		174		
145	Rogers, Taylor	MIN	P	147.69	80	328		174		
146	Villar, Jonathan	NYM	2B, SS	148.94	86	276		174		
147	Varsho, Daulton	ARZ	C, OF	150.26	109	186		174		
148	Brantley, Michael	HOU	OF	152.32	114	193		174		
149	Mountcastle, Ryan	BAL	1B, OF	152.96	83	211		174		
150	Carlson, Dylan	STL	OF	153.47	106	231		174		
151	Bell, Josh	WAS	1B	155.57	98	212		174		
152	Montas, Frankie	OAK	P	156.25	118	203		174		
153	Reyes, Franmil	CLE	UT	156.31	98	213		174		
154	Santander, Anthony	BAL	OF	157.58	109	214		174		
155	Robles, Victor	WAS	OF	158.45	107	237		174		
156	Urshela, Gio	NYY	3B	160.85	109	221		174		
157	Murphy, Sean	OAK	C	160.96	114	215		174		
158	Nola, Austin	SD	C	162.85	112	239		174		
159	Gallo, Joey	TEX	OF	162.97	106	204		174		
160	Happ, Ian	CHC	OF	163.98	97	223		174		
161	Gregorius, Didi	PHI	SS	165.87	108	242		174		
162	Hoskins, Rhys	PHI	1B	167.01	112	254		174		
163	Marquez, German	COL	P	167.11	114	232		174		
164	Anderson, Nick	TB	P	167.32	102	309		174		
165	Gonzales, Marco	SEA	P	167.90	112	240		174		
166	Solak, Nick	TEX	2B, OF	169.13	132	209		174		
167	Gimenez, Andres	CLE	2B, 3B, SS	169.87	107	240		174		
168	Sanchez, Gary	NYY	C	171.97	115	221		174		
169	May, Dustin	LAD	P	172.74	122	280		174		
170	Mahle, Tyler	CIN	P	174.62	126	225		174		
171	McCann, James	NYM	C	175.15	113	233		174		
172	Williams, Devin	MLW	P	175.60	109	367		174		
173	Yates, Kirby	TOR	P	177.11	68	452		173		
174	Soroka, Mike	ATL	P	179.22	137	247		174		
175	Mancini, Trey	BAL	1B, OF	179.83	114	242		174		
176	Kim, Ha-seong	SD	SS	179.92	118	266		174		
177	Rosenthal, Trevor	SD	P	183.43	84	361		174		
178	Cronenworth, Jake	SD	1B, 2B, SS	183.73	120	279		174		
179	Price, David	LAD	P	185.24	122	264		174		
180	Frazier, Clint	NYY	OF	185.58	153	232		174		
181	Kepler, Max	MIN	OF	186.32	133	233		174		
182	Kimbrel, Craig	CHC	P	186.77	122	357		174		
183	Civale, Aaron	CLE	P	186.96	142	247		174		
184	Segura, Jean	PHI	2B, 3B	187.31	115	272		174		
185	Colome, Alex	MIN	P	188.64	93	381		174		
186	Bassitt, Chris	OAK	P	189.51	107	239		174		
187	Schwarber, Kyle	WAS	OF	190.24	159	249		174		
188	Madrigal, Nick	CWS	2B	191.37	127	313		174		
189	Sano, Miguel	MIN	1B	193.14	146	243		174		
190	McKenzie, Triston	CLE	P	194.43	148	289		174		
191	Donaldson, Josh	MIN	3B	195.15	124	247		174		
192	McCutchen, Andrew	PHI	OF	195.99	143	240		174		
193	Keuchel, Dallas	CWS	P	196.64	125	254		174		
194	Taveras, Leody	TEX	OF	196.83	145	310		174		
195	Pollock, AJ	LAD	OF	197.29	142	252		174		
196	Montero, Rafael	SEA	P	197.57	117	401		174		
197	Walker, Christian	ARZ	1B	198.78	137	274		174		
198	Walsh, Jared	LAA	1B	199.20	132	274		174		
199	Eflin, Zach	PHI	P	200.14	155	262		174		
200	Garver, Mitch	MIN	C	200.86	117	287		174		
201	Reyes, Victor	DET	OF	201.82	153	326		174		
