Rank	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
951	Chatham, C.J.	PHI	UT	749.83	556	743		2		
952	Lucroy, Jonathan	PHI	UT	749.87	622	684		2		
953	Wojciechowski, Asher	BAL	P	749.90	590	720		2		
954	Zimmermann, Jordan	DET	P	749.94	614	703		2		
955	Gonzalez, Gio	CWS	P	749.96	677	716		3		
956	Ponce, Cody	PIT	P	749.96	626	750		4		
957	Higgins, P.J.	CHC	UT	749.97	571	571		1		
958	Cano, Robinson	NYM	2B	749.97	572	572		1		
959	Rasmussen, Drew	MLW	P	749.98	675	746		6		
960	Santana, Ervin	CWS	P	750.00	577	577		1		
961	Peterson, Tim	NYM	P	750.01	578	578		1		
962	Ervin, Phillip	CHC	OF	750.03	694	741		6		
963	Burrows, Beau	DET	P	750.03	599	735		2		
964	Oviedo, Johan	STL	P	750.04	667	668		2		
965	Webb, Jacob	ATL	P	750.04	584	584		1		
966	Eickhoff, Jerad	TEX	P	750.05	586	586		1		
967	Bukauskas, J.B.	ARZ	P	750.08	664	738		4		
968	Gonzales, Nick	PIT	UT	750.08	591	591		1		
969	Rodriguez, Yerry	TEX	P	750.09	599	744		2		
970	Tepera, Ryan	CHC	P	750.09	593	593		1		
971	Cabrera, Melky	PIT	UT	750.11	597	597		1		
972	Bracho, Aaron	CLE	UT	750.13	600	600		1		
973	Clippard, Tyler	MIN	P	750.14	675	740		3		
974	Gamel, Ben	MLW	OF	750.17	609	749		2		
975	Holt, Brock	WAS	3B, OF	750.17	693	718		3		
976	Garcia, Aramis	OAK	UT	750.19	654	707		2		
977	Pruitt, Austin	HOU	P	750.19	649	735		3		
978	Maybin, Cameron	CHC	OF	750.20	691	747		4		
979	Medina, Adonis	PHI	P	750.20	611	611		1		
980	Williams, Taylor	SD	P	750.22	691	720		3		
981	Kendrick, Howie	WAS	UT	750.24	681	689		2		
982	Doyle, Tommy	COL	P	750.28	675	702		2		
983	Cessa, Luis	NYY	P	750.28	699	728		3		
984	Hernandez, Carlos	KC	P	750.28	660	744		3		
985	Briceno, Jose	LAA	C	750.29	695	744		5		
986	Drury, Brandon	TOR	3B	750.30	661	720		2		
987	Familia, Jeurys	NYM	P	750.32	640	750		3		
988	Perdomo, Geraldo	ARZ	UT	750.32	667	740		3		
989	Anderson, Shaun	MIN	P	750.34	710	716		3		
990	Joyce, Matt	MIA	OF	750.36	649	742		2		
991	Lowrie, Jed	NYM	UT	750.36	704	725		3		
992	Underwood Jr., Duane	CHC	P	750.36	725	743		6		
993	Winkler, Dan	CHC	P	750.36	683	708		2		
994	Hall, DL	BAL	P	750.40	670	747		3		
995	Hearn, Taylor	TEX	P	750.41	673	750		3		
996	Burdi, Zack	CWS	P	750.42	708	735		3		
997	Bettinger, Alec	MLW	P	750.42	703	749		4		
998	Kennedy, Ian	KC	P	750.43	651	651		1		
999	Baumann, Michael	BAL	P	750.44	718	735		4		
1000	Gordon, Nick	MIN	SS	750.44	703	746		5		
1001	Turang, Brice	MLW	UT	750.47	698	711		2		
1002	Espinal, Santiago	TOR	SS	750.48	690	737		3		
1003	Nelson, Kyle	CLE	P	750.49	677	736		2		
1004	Dayton, Grant	ATL	P	750.49	665	748		2		
1005	Rolison, Ryan	COL	P	750.51	705	711		2		
1006	Morgan, Eli	CLE	P	750.52	714	747		7		
1007	Zuber, Tyler	KC	P	750.52	694	724		2		
1008	Herrera, Ivan	STL	UT	750.52	668	668		1		
1009	Selman, Sam	SF	P	750.53	670	670		1		
1010	Magill, Matt	SEA	P	750.55	673	750		2		
1011	Davidson, Tucker	ATL	P	750.55	725	744		4		
1012	Noll, Jake	WAS	UT	750.56	674	674		1		
1013	Beeks, Jalen	TB	P	750.56	675	675		1		
1014	Difo, Wilmer	WAS	SS	750.57	676	676		1		
1015	Kemp, Matt	COL	UT	750.59	712	718		2		
1016	Nelson, Jimmy	LAD	P	750.59	712	718		2		
1017	Robertson, Daniel	MLW	UT	750.59	691	740		2		
1018	Vilade, Ryan	COL	SS	750.60	682	682		1		
1019	Edwards Jr., Carl	SEA	P	750.61	683	683		1		
1020	Santana, Domingo	CLE	OF	750.64	688	688		1		
1021	Smith, Kevan	TB	C	750.64	701	739		2		
1022	Shewmake, Braden	ATL	UT	750.66	691	691		1		
1023	McKinney, Billy	MLW	UT	750.67	693	693		1		
1024	Starling, Bubba	KC	OF	750.67	694	694		1		
1025	Craig, Will	PIT	1B	750.68	722	748		4		
1026	Dyson, Jarrod	CWS	OF	750.68	696	696		1		
1027	Hernandez, Ronaldo	TB	C	750.69	707	749		4		
1028	Ray, Corey	MLW	UT	750.70	698	698		1		
1029	Estevez, Carlos	COL	P	750.70	699	699		1		
1030	Mata, Bryan	BOS	P	750.71	712	740		2		
1031	Stiever, Jonathan	CWS	P	750.71	700	700		1		
1032	Davis, Brennen	CHC	UT	750.71	701	701		1		
1033	Armstrong, Shawn	BAL	P	750.72	728	747		4		
1034	Hjelle, Sean	SF	P	750.72	720	749		3		
1035	Nishikawa, Haruki	FA	OF	750.74	706	706		1		
1036	Lopez, Jorge	BAL	P	750.74	726	742		3		
1037	Hoese, Kody	LAD	UT	750.75	710	748		2		
1038	Stubbs, Garrett	HOU	C	750.75	708	708		1		
1039	Florial, Estevan	NYY	OF	750.75	724	734		2		
1040	Nova, Ivan	DET	P	750.75	707	707		1		
1041	Garcia, Greg	SD	2B, 3B	750.75	708	708		1		
1042	Newcomb, Sean	ATL	P	750.75	707	707		1		
1043	Carroll, Corbin	ARZ	UT	750.76	710	710		1		
1044	Miller, Tyson	CHC	P	750.76	709	709		1		
1045	Reks, Zach	LAD	UT	750.76	709	709		1		
1046	Rea, Colin	CHC	P	750.77	711	711		1		
1047	Hancock, Emerson	SEA	P	750.77	711	711		1		
1048	Wieters, Matt	STL	C	750.77	711	711		1		
1049	Espino, Daniel	CLE	P	750.79	719	746		2		
1050	Gott, Trevor	SF	P	750.79	714	714		1		
1051	Rengifo, Luis	LAA	2B	750.79	719	747		2		
1052	Brebbia, John	SF	P	750.80	729	738		2		
1053	Cavalli, Cade	WAS	P	750.80	723	745		2		
1054	Thornton, Trent	TOR	P	750.81	718	718		1		
1055	Fox, Lucius	KC	UT	750.82	720	720		1		
1056	Baddoo, Akil	DET	UT	750.82	720	720		1		
1057	McWilliams, Sam	NYM	P	750.83	730	743		2		
1058	Ynoa, Huascar	ATL	P	750.83	722	722		1		
1059	Bednar, David	PIT	P	750.83	731	741		2		
1060	Perez, Franklin	DET	P	750.83	723	750		2		
1061	Hendrix, Ryan	CIN	P	750.83	722	722		1		
1062	Small, Ethan	MLW	P	750.84	727	748		2		
1063	Mendick, Danny	CWS	2B	750.84	724	724		1		
1064	Ramirez, Harold	MIA	OF	750.85	733	743		2		
1065	Garcia, Adolis	TEX	UT	750.85	734	742		2		
1066	Isbel, Kyle	KC	UT	750.86	726	726		1		
1067	Alvarez, Daniel	NYY	P	750.86	738	749		4		
1068	Mathias, Mark	MLW	OF	750.86	726	726		1		
1069	Marchan, Rafael	PHI	UT	750.86	727	727		1		
1070	Groome, Jay	BOS	P	750.86	727	727		1		
1071	Rutledge, Jackson	WAS	P	750.87	729	729		1		
1072	Busch, Michael	LAD	UT	750.87	732	748		2		
1073	Bielak, Brandon	HOU	P	750.87	729	729		1		
1074	Rondon, Angel	STL	P	750.87	729	729		1		
1075	Straily, Dan	BAL	P	750.88	740	747		3		
1076	Falter, Bailey	PHI	P	750.89	737	745		2		
1077	Shreve, Chasen	NYM	P	750.89	732	732		1		
1078	Feliz, Neftali	ARZ	P	750.89	732	732		1		
1079	Greene, Riley	DET	OF	750.89	737	746		2		
1080	Reed, Cody	TB	P	750.90	734	734		1		
1081	Kahnle, Tommy	LAD	P	750.90	733	733		1		
1082	Joe, Connor	SF	UT	750.90	739	746		2		
1083	Thorpe, Lewis	MIN	P	750.91	736	736		1		
1084	Moniak, Mickey	PHI	OF	750.91	742	750		3		
1085	Parker, Blake	PHI	P	750.91	740	747		2		
1086	Sandoval, Pablo	ATL	1B	750.92	737	737		1		
1087	Neidert, Nick	MIA	P	750.92	737	737		1		
1088	Ball, Bryce	ATL	UT	750.93	739	739		1		
1089	Smoak, Justin	SF	1B	750.93	739	739		1		
1090	Springs, Jeffrey	BOS	P	750.93	739	739		1		
1091	Machin, Vimael	OAK	3B	750.93	739	739		1		
1092	Velazquez, Andrew	BAL	SS, OF	750.94	741	741		1		
1093	Mears, Nick	PIT	P	750.94	741	741		1		
1094	Muller, Kyle	ATL	P	750.94	740	740		1		
1095	Davis, Wade	COL	P	750.94	741	741		1		
1096	Puello, Cesar	BOS	UT	750.95	743	743		1		
1097	Rodriguez, Chris	LAA	P	750.95	743	743		1		
1098	Herrera, Odubel	PHI	UT	750.95	746	748		2		
1099	Reid-Foley, Sean	NYM	P	750.96	744	744		1		
1100	Miller, Shelby	MLW	P	750.96	744	744		1		
1101	Chacin, Jhoulys	ATL	P	750.97	745	745		1		
1102	Goudeau, Ashton	BAL	P	750.97	745	745		1		
1103	Bowden, Ben	COL	P	750.97	745	745		1		
1104	Santillan, Tony	CIN	P	750.98	747	747		1		
1105	Vavra, Terrin	COL	UT	750.98	747	747		1		
1106	Gil, Luis	NYY	P	750.98	748	748		1		
1107	Demeritte, Travis	ATL	OF	750.98	748	748		1		
1108	Bishop, Braden	SEA	OF	750.99	749	749		1		
1109	Cron, Kevin	ARZ	UT	750.99	750	750		1		
