"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"J.D. Davis","Mets","133","605","536","143","28","1","24","80","79","58","141","2","1",".266",".342",".456",".799",".343","221.2","16219"
"Yandy Diaz","Rays","109","466","404","110","18","1","11","56","49","56","81","2","1",".271",".362",".402",".764",".335","458.9","16578"
"Yoan Moncada","White Sox","147","633","556","138","27","3","26","85","78","68","180","9","3",".249",".334",".447",".780",".335","86.4","17232"
"Tommy La Stella","","105","475","419","113","23","2","12","58","54","45","46","1","0",".271",".345",".422",".767",".333","317.8","12371"
"Kyle Seager","Mariners","149","631","555","136","30","1","28","75","82","63","112","4","2",".246",".327",".455",".782",".333","264.1","9785"
"Hunter Dozier","Royals","144","610","543","134","30","3","24","75","78","59","157","5","2",".247",".324",".449",".773",".331","234.2","15117"
"Matt Carpenter","Cardinals","55","248","209","47","12","1","9","31","30","34","65","1","1",".226",".341",".421",".762",".331","557.6","8090"
"Miguel Sano","Twins","149","640","556","122","25","1","36","85","94","76","240","1","0",".219",".316",".459",".776",".330","195.0","12164"
"Eduardo Escobar","Diamondbacks","141","635","576","151","32","6","23","80","84","48","119","4","1",".263",".321",".459",".780",".330","324.7","6153"
"Ke'Bryan Hayes","Pirates","136","605","542","145","33","4","16","74","68","51","120","10","2",".268",".335",".431",".766",".330","144.9","18577"
"Mike Brosseau","Rays","39","167","150","38","8","1","6","21","21","12","41","2","1",".255",".323",".436",".760",".327","435.4","19683"
"Brian Anderson","Marlins","154","687","606","153","30","2","23","81","81","62","159","3","1",".252",".332",".422",".754",".327","230.8","18289"
"Alec Bohm","Phillies","139","633","571","154","28","3","18","78","75","51","121","5","2",".269",".332",".424",".756",".326","999.0","21618"
"Giovanny Urshela","Yankees","146","634","580","155","29","1","23","77","79","44","107","1","1",".268",".323",".439",".761",".326","158.8","10681"
