"","Name","Team","position","marginal_total_points","dollar_value","auction_value","status"
"156","Joey Lucchesi","Pirates","pitcher",0.34,-1.98,-3.89490481474701,""
"157","Dellin Betances","Mets","pitcher",0.32,-2.03,-3.99326099693759,""
"158","Michael Feliz","Pirates","pitcher",0.31,-2.04,-4.01293223337571,""
"159","Andrew Chafin",NA,"pitcher",0.28,-2.09,-4.11128841556629,""
"160","Michael A. Taylor","Royals","of",-0.625263278481649,-2.10024999383456,-4.13145142078718,""
"161","Adam Plutko","Indians","pitcher",0.27,-2.11,-4.15063088844252,""
"162","Julio Teheran",NA,"pitcher",0.22,-2.19,-4.30800077994745,""
"163","Andrew Stevenson","Nationals","of",-0.657409790438752,-2.20822964634776,-4.34386074829645,""
"164","Darren O'Day",NA,"pitcher",0.21,-2.22,-4.3670144892618,""
"165","Paul Fry","Orioles","pitcher",0.2,-2.23,-4.38668572569992,""
"166","Jacob Nottingham","Brewers","catcher",-2.74864016978035,-2.23264119020872,-4.39188127340729,""
"167","Joe Smith","Astros","pitcher",0.2,-2.24,-4.40635696213803,""
"168","Codi Heuer","White Sox","pitcher",0.19,-2.26,-4.44569943501426,""
"169","Jarlin Garcia","Giants","pitcher",0.16,-2.31,-4.54405561720484,""
"170","Kyle Cody","Rangers","pitcher",0.16,-2.32,-4.56372685364296,""
"171","Kevin Plawecki","Red Sox","catcher",-2.78395572144421,-2.35126559966454,-4.62523015398102,""
"172","Austin Hedges","Indians","catcher",-2.79013315947282,-2.37201552154225,-4.66604781591391,""
"173","Burch Smith","Athletics","pitcher",0.12,-2.39,-4.70142550870978,""
"174","Corey Knebel","Dodgers","pitcher",0.1,-2.42,-4.76043921802412,""
"175","Antonio Senzatela","Rockies","pitcher",0.1,-2.42,-4.76043921802412,""
"176","John Curtiss","Rays","pitcher",0.1,-2.42,-4.76043921802412,""
"177","Yusniel Diaz","Orioles","of",-0.720948325548443,-2.42165463477254,-4.76369408920706,""
"178","Yoenis Cespedes",NA,"of",-0.721622990107901,-2.42392082292976,-4.76815196151246,""
"179","Brandon Workman",NA,"pitcher",0.1,-2.43,-4.78011045446224,""
"180","Jake Lamb",NA,"3b",-0.723940304413906,-2.43170464699939,-4.78346370587909,""
"181","Cody Stashak","Twins","pitcher",0.08,-2.46,-4.83912416377659,""
"182","Jordan Luplow","Indians","of",-0.735261623993241,-2.4697327900153,-4.85826976513594,""
"183","Jakob Junis","Royals","pitcher",0.06,-2.49,-4.89813787309094,""
"184","Daniel Norris","Tigers","pitcher",0.05,-2.52,-4.95715158240529,""
"185","Tyler Matzek","Braves","pitcher",0.04,-2.52,-4.95715158240529,""
"186","Trevor Richards","Rays","pitcher",0.04,-2.53,-4.9768228188434,""
"187","Sergio Romo",NA,"pitcher",0.03,-2.55,-5.01616529171963,""
"188","Tyler Clippard",NA,"pitcher",0.02,-2.56,-5.03583652815775,""
"189","Tim Hill","Padres","pitcher",0.02,-2.57,-5.05550776459587,""
"190","Connor Brogdon","Phillies","pitcher",0.02,-2.57,-5.05550776459587,""
"191","Shane Greene",NA,"pitcher",0,-2.61,-5.13419271034833,""
"192","Kyle Wright","Braves","pitcher",-0.01,-2.62,-5.15386394678645,""
"193","Ryan Thompson","Rays","pitcher",-0.01,-2.63,-5.17353518322456,""
"194","Felix Pena","Angels","pitcher",-0.02,-2.64,-5.19320641966268,""
"195","Pedro Baez","Astros","pitcher",-0.02,-2.64,-5.19320641966268,""
"196","Enoli Paredes","Astros","pitcher",-0.03,-2.65,-5.2128776561008,""
"197","Collin Cowgill",NA,"of",-0.792211705061808,-2.66102725992818,-5.23456963983198,""
"198","Cole Tucker","Pirates","of, ss",-0.812602669649421,-2.72952020477761,-5.36930373107956,""
"199","Felix Hernandez","Braves","pitcher",-0.09,-2.76,-5.42926125692007,""
"200","Cody Ponce","Pirates","pitcher",-0.09,-2.77,-5.44893249335819,""
"201","Francisco Cervelli",NA,"catcher",-2.90921568446777,-2.77201194064075,-5.45289022936255,""
"202","Jaime Barria","Angels","pitcher",-0.1,-2.79,-5.48827496623442,""
"203","Riley Smith","Diamondbacks","pitcher",-0.11,-2.79,-5.48827496623442,""
"204","Trevor Cahill",NA,"pitcher",-0.11,-2.8,-5.50794620267254,""
"205","Michael Perez","Pirates","catcher",-2.91898311996861,-2.80482061029467,-5.51742893916078,""
"206","Tommy Hunter",NA,"pitcher",-0.12,-2.82,-5.54728867554877,""
"207","Kyle Nelson","Indians","pitcher",-0.14,-2.84,-5.586631148425,""
"208","Noe Ramirez","Reds","pitcher",-0.15,-2.87,-5.64564485773935,""
"209","Hansel Robles","Twins","pitcher",-0.15,-2.88,-5.66531609417747,""
"210","Mike Foltynewicz",NA,"pitcher",-0.17,-2.9,-5.7046585670537,""
"211","Nick Margevicius","Mariners","pitcher",-0.18,-2.92,-5.74400103992993,""
