playerid,NFBC_ADP
18592,NA
2391,NA
"NA",745.6
5751,NA
8362,744.89
"NA",750.24
20468,750.83
21183,NA
20739,NA
15117,234.61
"NA",748.26
15507,391.61
15464,399.99
14444,74.28
19951,99.38
6885,604.99
17871,NA
19261,NA
17919,163.98
6986,750.43
10066,NA
15156,NA
13324,NA
sa915667,NA
20036,579.06
17922,698.48
16512,286.82
1994,750.75
7410,389.71
sa829263,750.08
14506,507.55
16219,223.17
6184,95.61
15491,450.58
16610,NA
11739,34.21
16159,NA
12325,NA
17479,30.57
sa918429,NA
15402,NA
12984,360.03
sa3008273,713.58
"NA",750.87
12323,NA
10954,6.3
16448,704.98
13723,397.4
18318,NA
19274,750.04
14818,431.26
18872,743.72
18356,643.42
12774,746.43
4153,701.06
15194,636.51
14477,700.74
18036,183.73
5003,307.78
13699,NA
"NA",715.46
13329,702.37
11339,748.13
7550,702.11
15136,NA
19703,750.56
6397,292.53
19452,736.45
18674,NA
13619,743.66
"NA",750.56
14605,745.79
18331,727.48
20151,104.73
12859,175.15
16440,NA
11828,257.55
11674,219.79
19968,557.02
18607,199.2
18282,745.85
sa3007741,222.51
sa3006786,679.6
4866,750.68
11861,748.02
8722,545.31
sa915677,NA
4940,458.11
9776,748.67
16429,NA
"NA",738.56
20454,NA
sa879559,NA
12979,72.88
17292,NA
7407,NA
9892,738.24
19552,747.07
20454,502.39
5933,187.31
10816,670.23
16631,NA
17432,733.11
3448,NA
15362,86.9
3254,743.7
17677,750.93
17018,NA
13621,248.21
9490,587.83
19981,NA
7841,NA
11437,NA
13287,688.06
13590,210.54
11342,324.22
19959,102.17
19913,746.55
sa3004615,565.13
5114,750.32
sa873347,734.41
2608,750.97
5452,562.47
15690,NA
17556,NA
19541,NA
10547,750.59
sa3011642,714.7
20220,365.94
6941,563.61
11899,338.06
sa828693,NA
15761,639.39
9761,749.43
12970,127.52
"NA",748.25
11936,743.16
12972,655.72
sa3007584,709.49
3281,NA
14332,NA
11487,680.57
21524,465.98
"NA",749.79
14128,162.97
24591,NA
19320,628.52
4314,353.41
13853,311.77
sa917946,NA
14950,694.47
22487,750.04
20643,NA
12777,750.8
16128,743.36
13684,729.83
22051,NA
16269,210.93
16852,NA
20020,NA
6893,560.91
19574,NA
12037,264.01
"NA",749.05
14916,519.69
5227,NA
4930,572.03
16930,680.75
20275,748.6
17578,NA
15104,NA
17464,474.01
16588,NA
"NA",741.26
19753,628.93
7870,749.87
11265,400.48
24584,750.71
10071,148.94
"NA",712.25
19618,262.39
20631,NA
16424,744.79
7593,711.74
16511,218.46
16122,394.7
sa738245,NA
13190,745.59
17585,749.07
4505,749.94
6547,NA
19459,737.07
12180,253.48
"NA",NA
17505,NA
14527,750.74
17273,741.34
20040,NA
13152,215.9
14221,144.15
23378,NA
15676,37.59
sa3003090,NA
5417,98.6
17780,637.34
5358,NA
14168,85.1
13151,750.29
17169,747.47
6399,706.69
15463,716.22
23378,666.4
10231,451.5
14524,340.11
15767,714.9
7996,748.99
17821,NA
"NA",749.32
13593,745.97
19200,NA
11423,468.67
13510,10.98
14552,NA
sa736940,NA
sa916702,NA
19911,NA
16725,508.52
11589,679.9
18413,225.18
15535,NA
17035,NA
13145,155.57
5038,195.15
20418,470.74
16885,513.1
14212,58.49
8202,681.66
16794,731.01
"NA",652.92
7882,337.37
"NA",686.13
18839,427.34
11528,NA
sa829562,NA
9308,NA
3892,715.79
19734,683.66
18323,NA
18335,498.16
17359,NA
9388,747.48
15170,737.67
sa3007475,700.87
"NA",524.67
5398,NA
20123,3.9
16703,743.01
"NA",614.86
6797,731.13
14765,118.36
18496,NA
5702,NA
10815,234.87
19268,593.09
sa875567,NA
9054,750.93
sa828960,NA
15145,748.35
5235,219.97
5222,366.21
"NA",745.78
15490,NA
4301,748.48
17285,293.43
sa875069,745.22
18577,141.82
19362,556.56
sa918851,NA
19610,678.8
17468,NA
6033,NA
"NA",748.31
15514,696.49
3096,135.71
sa549399,NA
18498,47.75
14696,675.36
20003,69.34
13613,80.55
15964,NA
12284,750.64
"NA",750.99
14107,131.46
19876,681.9
11038,517.97
15240,NA
17696,535.65
12434,392.45
13807,642.84
sa915864,NA
15264,743.95
sa917996,728.07
9112,531.71
10472,427.24
9073,177.11
sa829382,NA
19731,NA
"NA",750.75
"NA",533.03
18694,726.45
11200,256.9
12532,363.04
sa857820,NA
15429,129.83
21455,537.21
"NA",746.76
8259,450.31
27458,268.89
19686,706.76
13182,728.89
sa3004861,NA
14813,738.45
15009,NA
16256,606.38
19456,NA
18063,NA
10123,548.06
19646,NA
12049,85.2
5517,521.76
sa857840,748.66
18890,NA
19508,137.95
15071,NA
"NA",750.94
20515,750.49
11753,NA
16478,190.24
16478,190.24
9785,265.63
18345,31.4
19665,564.79
14169,742.13
18126,NA
2520,52.01
14120,122.21
16939,705.51
18900,196.83
5913,675.18
18365,686.59
14352,635.99
15906,750.91
3548,61.33
19942,749.47
18555,697.2
7185,NA
sa3008598,530.3
9205,NA
17995,635.33
9077,251.37
15043,650.96
19238,83.6
15474,18.45
13470,373.19
sa914200,750.82
17839,NA
18568,401.48
2882,NA
sa736690,NA
22217,731.17
15689,27.37
13345,750.28
20391,615.17
20391,680.2
23735,615.17
23735,680.2
6984,615.17
6984,680.2
20391,615.17
20391,680.2
23735,615.17
23735,680.2
6984,615.17
6984,680.2
20332,NA
16451,744.49
sa917344,NA
22815,500.2
19858,750.79
20043,36.44
15890,443.42
15905,507.2
16622,410.44
14288,NA
11752,749.21
13355,NA
sa918048,NA
14811,61.93
16918,422.56
sa915799,NA
sa3005068,333.3
5524,386.45
17023,717.09
12179,472.3
13608,723.54
11493,21.63
2829,722.42
14712,261.62
10324,48.43
15467,167.9
"NA",747.7
12533,137.8
13431,214.12
8004,NA
sa828703,NA
11445,262.69
18032,750.86
4264,336.06
16042,NA
6876,NA
6887,495.82
6902,655.9
5497,504.76
15764,571.99
9393,NA
12022,737.75
12863,233.18
17710,745.36
8090,628.53
16505,113.29
"NA",NA
13836,NA
19647,723.14
3353,750.36
5631,750.59
"NA",742.99
3950,750.55
sa917924,547.11
1890,666.92
14344,90.16
sa3004019,NA
4776,575.91
13799,736.16
19318,NA
4298,750.77
12804,633.37
15440,311.07
16530,276.03
20080,NA
13743,66.14
12144,186.32
sa919118,NA
"NA",749.27
14556,NA
13301,94.24
3137,28.82
17750,NA
10059,380.03
17109,NA
11156,517.72
11489,577.77
sa829681,750.44
4106,152.32
"NA",750.87
17321,426.18
16376,73.3
11903,748.62
13218,656.65
16285,NA
19853,740.64
17282,292.66
14843,396.34
12977,746.69
5372,232.62
14078,536.06
20100,NA
sa830303,NA
19956,750.91
"NA",749.73
15878,557.12
1744,519.6
15684,749.59
7802,412.51
sa3003109,NA
12164,193.14
21111,740.83
"NA",NA
19683,450.44
"NA",747.2
7754,648.16
10811,662.23
15585,723.27
11618,NA
10130,748.58
15451,556.24
10021,298.84
4869,NA
4892,119.59
18383,179.22
15274,619.51
10155,6.1
14854,138.2
13265,556.79
9803,397.44
15161,200.86
14274,268.87
17594,311.53
3086,612.68
19225,NA
17216,659.84
13611,3.6
10430,661.46
17620,462.41
"NA",735.4
4696,NA
19566,324.51
15407,NA
20160,262.25
9132,231.64
18,750.89
7539,NA
2434,101.16
11737,NA
12147,397.37
18337,167.32
sa873982,NA
11737,84.12
sa3006714,NA
sa828662,750.44
19577,747.63
"NA",717.52
20521,191.37
20395,728.54
5930,747.21
sa876186,NA
25376,750.94
18699,750.92
20153,NA
15454,539.08
12575,NA
sa3006820,NA
19293,282.1
19294,169.13
12385,NA
15594,596.59
19339,702.75
21479,467.67
5530,NA
12092,430.47
22449,NA
11762,327.18
12800,748.91
9777,34.46
sa874212,NA
"NA",739.44
"NA",607.05
14553,591.01
"NA",750.95
8823,NA
1514,NA
sa914242,NA
13338,353.47
"NA",735.26
13185,515.45
"NA",745.7
16375,386.99
sa3006673,747.67
16556,34.44
sa875573,749.97
17085,128.07
5409,750.92
sa913120,NA
sa873274,NA
14885,534.54
9323,138.72
sa827167,NA
19712,NA
19447,601.3
17792,NA
14739,NA
sa3005052,NA
18015,223.04
15832,NA
9218,96.76
19892,667.7
5420,697.81
"NA",736.96
14523,328.97
4070,NA
19251,57.82
17998,486.79
17998,NA
18519,NA
10953,NA
18064,718.82
20030,NA
14738,750.03
12950,734.66
15605,NA
13435,697.69
17350,42.64
4185,573.74
21646,750.86
12760,197.57
14350,249.23
17130,91.96
17128,143.28
20368,NA
18795,741.63
10243,207.39
19290,56.99
23798,530.66
17277,NA
14244,NA
15674,749.16
sa598828,NA
19311,NA
"NA",748.59
14503,464.65
3648,NA
14966,473.07
16400,678.95
16472,167.01
4806,484.9
7803,NA
19337,NA
13549,220.69
16411,NA
"NA",739.99
17736,NA
2717,653.22
20023,NA
19826,NA
14103,555.23
5254,377.97
5254,377.97
11486,344.24
13167,NA
19191,NA
13696,NA
13594,725.91
6576,NA
"NA",582.59
2900,505.98
"NA",749.97
3142,746.43
12673,NA
17679,NA
13546,530.49
18401,1.76
20041,NA
14388,717.52
11400,NA
sa881850,750.69
sa873674,NA
13273,487.79
12282,521.61
14646,594.32
15679,263.57
sa3004259,649.32
10819,NA
17016,NA
4616,NA
16350,746.29
5615,746.28
3410,687.78
16377,NA
18138,726.91
sa738145,750.83
24618,356.3
16524,736.11
sa875055,NA
15112,238.07
18373,152.96
16442,742.99
7005,122.87
sa3008244,750.51
12249,NA
10291,750.09
16647,NA
"NA",750.6
sa3008436,742.78
16502,247.13
4220,748.71
12680,NA
15947,748.29
13690,NA
7304,76.15
sa828815,NA
17264,749.33
sa3004222,747.7
18054,735.16
17954,379.31
16265,NA
22209,394.79
sa829124,750.83
13397,750.53
22209,NA
18684,140.19
5273,NA
5273,NA
19997,750.48
"NA",743.7
10591,NA
14993,587.77
16427,NA
14453,NA
17975,314.94
sa738902,747.32
13911,655.63
12225,NA
1581,666.82
sa3007989,750.72
15873,241.44
19352,160.96
16943,750.75
19583,NA
17034,750.96
6589,NA
18887,NA
19249,NA
16417,NA
9817,737.26
"NA",715.22
18171,717.41
19766,NA
12447,428.16
21333,749.11
"NA",749.16
19427,9.39
10756,687.23
sa3008547,650.78
19453,750.34
12857,750.72
16542,NA
16542,661.38
19635,744.86
21794,743.01
3174,569.24
27461,447.67
19755,234.62
27460,NA
15051,NA
19680,137.07
17723,NA
12768,66.06
23252,400.84
"NA",573.77
16207,354.95
4579,336.01
9241,50.57
16058,289.87
13367,487.23
10131,71.17
15859,NA
5000,723.76
sa738419,NA
6483,NA
15291,525.44
17719,NA
sa828326,NA
13361,581.51
5667,747.34
8185,NA
sa829822,NA
3237,NA
19269,NA
11836,307.75
19879,394.41
17610,430.24
8753,717.79
17586,638.21
22267,312.58
17611,747.37
18306,NA
sa827360,NA
18325,750.41
19533,NA
13449,147.69
sa917943,728.68
"NA",749.18
17548,709.77
19266,749.51
14899,750.22
16233,367.43
13066,75.4
"NA",750.98
16426,NA
19264,NA
"NA",NA
sa875054,749.33
15172,42.06
7949,NA
16814,NA
15124,596.22
14137,740.43
785,741.33
sa872726,NA
"NA",720.31
13499,322.84
13755,748.95
21281,750.28
19470,127.71
1157,NA
11384,750.9
12371,310.6
7608,NA
2967,130.01
"NA",703.71
19388,208.67
14894,716.25
sa874781,750.98
3132,735.44
11470,748.39
16929,748.59
18581,NA
18395,745.8
7739,137.02
15958,750.98
18600,NA
11982,626.34
16252,7.28
18564,66.51
17948,750.81
19977,NA
12703,16.28
6249,749.39
15046,750.79
sa3008376,697.43
6398,543.32
19309,738.22
22286,501.83
10745,183.43
sa918441,NA
12564,11.7
16977,691.37
15149,179.83
"NA",744.33
18000,194.43
sa828871,NA
sa828871,NA
10200,503.09
19871,750.55
sa3002857,NA
14719,734.99
17982,327.98
sa3004015,NA
17735,749.7
12880,735.39
15203,NA
16981,730.9
4338,684.71
5640,750.14
13758,515.81
9134,734.28
"NA",743.51
14374,51.68
13897,NA
sa3004574,748.36
sa915688,NA
18297,NA
16358,174.62
10058,669.93
13359,741.78
15711,491.48
sa875646,NA
15541,617.16
17988,388.33
15730,713.85
14974,NA
sa918346,NA
15564,NA
20379,750.52
13675,747.27
19976,750.76
7872,NA
15915,NA
14968,512.75
14968,512.75
sa880983,711.28
15487,201.82
18363,158.45
"NA",598.23
17684,750.93
11189,559.14
19611,55.55
sa952977,NA
5221,NA
8779,702.86
19374,20.09
sa3007033,312.32
15855,NA
sa874818,NA
14295,NA
3256,749.09
19243,NA
11281,39.44
19800,748.64
10047,130.27
19267,750.68
3192,737.35
19197,96.41
19197,246.66
8048,96.41
8048,246.66
19197,96.41
19197,246.66
8048,96.41
8048,246.66
sa3004101,NA
17338,239.76
20503,724.51
15608,694.52
17838,364.69
11609,124.03
15986,347.53
5827,343.83
1433,334.21
14555,749.45
sa918372,NA
12161,35.05
"NA",NA
19334,NA
7007,280.55
16313,740.75
9627,321.63
16578,488.83
14225,273.5
11368,126.89
17171,NA
15068,748.85
17423,749.4
12095,398.3
17181,749.24
17232,85.04
13110,741.74
19444,731.9
11602,684.75
15794,749.13
"NA",749.46
19556,84.5
"NA",519.91
27459,519.91
19756,748.22
27459,NA
"NA",746.88
13074,17.14
14773,NA
19198,282.67
20633,318.67
"NA",709.49
sa912848,736.39
19291,40.62
sa915645,747.9
13183,243.06
13774,200.14
14973,NA
19392,746.97
19979,65.72
sa829370,NA
3240,408.63
19159,750.42
19181,737.53
14862,NA
1943,108.42
sa873287,NA
"NA",749.17
10310,94.55
