team,position,player,salary,AB,R,HR,RBI,SB,AVG,IP,ERA,WHIP,SV,W,K,marginal_total_points,dollar_value
perpetual,P4,Sandy Alcantara,27,NA,NA,NA,NA,NA,NA,166.5,4.49,1.4,0,9,144,3.85,4.38000000000001
perpetual,P5,Kirby Yates,25,NA,NA,NA,NA,NA,NA,62,3.34,1.13,14,4,87,5.06,6.560000000000009
perpetual,P6,Jake Odorizzi,12,NA,NA,NA,NA,NA,NA,160,4.33,1.3,0,10,166,5.78,7.88000000000001
perpetual,P7,Freddy Peralta,9,NA,NA,NA,NA,NA,NA,107,4.01,1.26,0,7,136,4.07,4.780000000000009
perpetual,P8,Robert Gsellman,1,NA,NA,NA,NA,NA,NA,43,4.87,1.43,0,2,34,-1.69,-5.659999999999995
perpetual,P9,Seth Lugo,2,NA,NA,NA,NA,NA,NA,74,3.9,1.18,0,5,81,2.02,1.0599999999999978
perpetual,P10,Jonathan Loaisiga,1,NA,NA,NA,NA,NA,NA,55,3.96,1.28,0,3,61,0.17,-2.290000000000001
perpetual,B1,Nate Pearson,0,NA,NA,NA,NA,NA,NA,129,4.48,1.33,0,8,129,NA,NA
perpetual,B2,Garrett Crochet,0,NA,NA,NA,NA,NA,NA,45,3.66,1.21,0,2,46,NA,NA
perpetual,B3,Chris Flexen,0,NA,NA,NA,NA,NA,NA,121.5,4.53,1.36,0,7,118,NA,NA
perpetual,B4,Randy Dobnak,0,NA,NA,NA,NA,NA,NA,117.5,4.54,1.4,0,8,79,NA,NA
perpetual,B5,Daniel Ponce de Leon,0,NA,NA,NA,NA,NA,NA,91,4.46,1.38,0,5,98,NA,NA
perpetual,B6,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
perpetual,B7,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
perpetual,B8,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
perpetual,B9,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
perpetual,B10,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dsb,C1,James McCann,13,407.6666666666667,49.6940724240266,15.304920852798523,52.058140252842584,2.6338559779135755,0.23683333333333334,NA,NA,NA,NA,NA,NA,0.3721510098106144,8.250049671809109
dsb,C2,Willson Contreras,20,417.5,60.691609776102105,18.173055116373206,61.068042466497886,2.791790778191214,0.25233333333333335,NA,NA,NA,NA,NA,NA,1.6853615725941564,12.66110429680986
dsb,1B,Yuli Gurriel,13,546.5,69.96594408649952,18.51350001018943,75.21893434979106,3.4836385650579373,0.26483333333333337,NA,NA,NA,NA,NA,NA,2.9545180128959654,9.924181783771562
dsb,2B,Chris Taylor,5,513,75.24164222570852,18.560433853000873,70.02233157570357,9.200904925517312,0.25316666666666665,NA,NA,NA,NA,NA,NA,3.7800156134194616,12.697015868351194
dsb,SS,Paul DeJong,14,559.8333333333334,75.59575593042385,24.881044356711254,79.63848516712457,4.496996755192154,0.24416666666666667,NA,NA,NA,NA,NA,NA,3.6030406073435133,12.102559471803364
dsb,3B,Eduardo Escobar,13,548.8333333333334,67.98532806485139,20.49550960723865,74.5573617513532,3.0076976161790534,0.253,NA,NA,NA,NA,NA,NA,2.688135843805115,9.029408064852266
dsb,CI,Jesus Aguilar,10,471.5,62.39559194011782,20.631956813282294,69.48133597155011,0.30914454277286135,0.2475,NA,NA,NA,NA,NA,NA,1.6937261635086347,5.689200832495165
dsb,MI,Andrelton Simmons,2,515.5,64.04407204412193,8.727130832414302,55.44963934344959,9.127633725126401,0.27016666666666667,NA,NA,NA,NA,NA,NA,2.3713202954815817,7.9652293799485365
dsb,OF1,Mark Canha,6,484.8333333333333,76.47642099225752,22.367740828353448,71.95108213280054,4.317619797673497,0.2425,NA,NA,NA,NA,NA,NA,3.0717770315792685,10.318053072462448
dsb,OF2,Lourdes Gurriel Jr.,11,532.6666666666666,73.8786699839465,26.327180760588014,82.24959211123677,6.450436477709673,0.26733333333333337,NA,NA,NA,NA,NA,NA,4.612430726738846,15.493085774874814
dsb,OF3,Hunter Dozier,14,519.1666666666666,71.65004613410406,21.030929976214917,70.64322993190027,5.03555080327877,0.244,NA,NA,NA,NA,NA,NA,2.90866264724004,9.770154296870354
dsb,OF4,Kole Calhoun,18,516.1666666666666,77.8910846342571,25.9112816409411,76.69335059077048,3.798027963415256,0.238,NA,NA,NA,NA,NA,NA,3.4001863893819664,11.421175189877141
dsb,OF5,Sam Hilliard,4,447.5,63.19840583651093,19.472970409669866,59.14943678562196,14.503727341824343,0.22783333333333333,NA,NA,NA,NA,NA,NA,3.4949974696325494,11.7396441893605
dsb,OF6,Adam Frazier,2,458.2,55.255412822206694,9.542274808906855,46.74511312407863,5.4945553174745,0.265,NA,NA,NA,NA,NA,NA,1.0186448358669362,3.421612757180231
dsb,DH,Miguel Cabrera,1,506.1666666666667,63.837079384378086,18.963592851525682,73.55939266692292,0.8832681293048419,0.26066666666666666,NA,NA,NA,NA,NA,NA,2.139951238927754,7.188064181984735
dsb,P1,Sonny Gray,8,NA,NA,NA,NA,NA,NA,167,4,1.3,0,11,184,7.07,10.21000000000001
dsb,P2,Michael Pineda,5,NA,NA,NA,NA,NA,NA,145.5,4.45,1.28,0,9,134,4.57,5.680000000000009
dsb,P3,Domingo German,1,NA,NA,NA,NA,NA,NA,97,4.49,1.29,0,7,102,2.5,1.9300000000000002
dsb,P4,Tyler Mahle,2,NA,NA,NA,NA,NA,NA,138,4.57,1.32,0,8,145,3.98,4.610000000000009
dsb,P5,Max Scherzer,42,NA,NA,NA,NA,NA,NA,176,3.5,1.11,0,13,224,11.47,18.189999999999962
dsb,P6,Stephen Strasburg,31,NA,NA,NA,NA,NA,NA,154.5,3.89,1.22,0,10,164,6.99,10.07000000000001
dsb,P7,James Paxton,14,NA,NA,NA,NA,NA,NA,150,4.02,1.24,0,10,169,6.66,9.47000000000001
dsb,P8,Justin Verlander,7,NA,NA,NA,NA,NA,NA,73,5.07,1.42,0,4,78.04285714285714,NA,NA
dsb,P9,Emilio Pagan,1,NA,NA,NA,NA,NA,NA,58,3.72,1.13,9,3,67,2.92,2.690000000000003
dsb,P10,Mark Melancon,3,NA,NA,NA,NA,NA,NA,63,3.95,1.33,0,4,52,0.19,-2.250000000000001
dsb,B1,Darwinzon Hernandez,0,NA,NA,NA,NA,NA,NA,55,4.36,1.52,0,3,72,NA,NA
dsb,B2,Cesar Hernandez,0,515.6666666666666,67.86357742392522,9.670864570493737,49.70194057858724,6.720472606281056,0.27016666666666667,NA,NA,NA,NA,NA,NA,1.9200347131306343,6.449367863417747
dsb,B3,Tyler Duffey,0,NA,NA,NA,NA,NA,NA,60,3.79,1.21,8,3,67,NA,NA
dsb,B4,Yoelqui Cespedes,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
