playerid,Name,Team,position,PA,AB,R,HR,RBI,SB,AVG,marginal_total_points,dollar_value,auction_value,status,NFBC_ADP,salary
18345,Kyle Tucker,Astros,of,616.5,559.8333333333334,87.61896578807746,28.175340552830367,90.1022248349179,19.48044231737564,0.25983333333333336,7.827496140094281,26.292442377064365,51.720485053477915,drafted,31.4,5
19612,Bo Bichette,Blue Jays,ss,612,568.8333333333334,87.00411313162523,22.81977413165891,80.98341615867449,20.747366114502878,0.2816666666666667,7.7183354384757585,25.925773214183074,50.99920147371751,drafted,24.47,7
11493,Manny Machado,Padres,"3b, ss",652.3333333333334,592.3333333333334,92.08734445286095,34.75073971284129,105.40734986661676,9.122973353986884,0.272,7.409521262552782,24.88847101941282,48.958699800607256,drafted,21.63,29
12916,Francisco Lindor,Mets,ss,633.5,607.6666666666666,89.33767249206164,28.305358277425746,82.14655221971287,17.25196303422926,0.26783333333333337,7.3543672655351155,24.70320956894415,48.594267621103505,drafted,17.09,22
12916,Francisco Lindor,Mets,ss,633.5,607.6666666666666,89.33767249206164,28.305358277425746,82.14655221971287,17.25196303422926,0.26783333333333337,7.3543672655351155,24.70320956894415,48.594267621103505,drafted,17.09,22
9241,Starling Marte,Marlins,of,598.5,570,78.06293307221677,16.958865923157617,67.80383963880114,25.94936637301824,0.27466666666666667,7.258093226009893,24.379826511154022,47.95813316211645,drafted,50.57,31
11281,Whit Merrifield,Royals,"2b, of",647,601.6666666666666,83.46927551608371,14.990397059207982,65.3017032901939,24.26481070229063,0.2816666666666667,7.022169028934743,23.587360664357853,46.399254857970504,drafted,39.44,22
5361,Freddie Freeman,Braves,1b,623.5,559.1666666666666,95.9279081220763,29.646005569239524,97.28364877586444,6.191238670240095,0.295,6.751031441999067,22.676613568074178,44.607702711338106,drafted,12.7,34
19290,Randy Arozarena,Rays,of,602,514,81.64495107225198,24.141554549786242,73.86698920532152,19.18491521590215,0.25966666666666666,6.622502191877549,22.244885740668746,43.75844069435746,drafted,56.99,0
15172,Tim Anderson,White Sox,ss,620,597.5,84.96298785310891,21.23019239670035,71.11489235005655,17.614126121532063,0.2816666666666667,6.561430298468014,22.0397461647955,43.35490578437571,drafted,42.06,17
12979,Javier Baez,Cubs,"2b, ss",649.3333333333334,607.8333333333334,84.03853082021266,29.308517770154808,92.12930183198961,12.793170519218558,0.25716666666666665,6.560057478147491,22.035134881886457,43.345834820737025,drafted,72.88,36
16556,Ozzie Albies,Braves,2b,609.5,590.3333333333334,85.30950797643189,22.558376833472348,79.72255518587194,14.266248742740007,0.2771666666666667,6.279626488645194,21.093171385479867,41.492876155348164,drafted,34.44,12
10047,Wil Myers,Padres,"1b, of",608.3333333333334,528.3333333333334,80.71480070628456,27.878474850676422,85.1669451778051,14.788143359836353,0.24383333333333332,6.161499962298928,20.69638615153345,40.71235054013684,drafted,130.27,6
14161,Byron Buxton,Twins,of,547.5,474.6666666666667,74.93136973323374,25.752850420109628,74.56282738485154,17.77003982481425,0.2495,6.067841295603833,20.381788091934304,40.0934972588021,drafted,114.47,26
17678,Alex Bregman,Astros,3b,644,546.5,95.73384633390208,29.43021373663857,92.91874160386931,5.313601171641663,0.276,6.001600198610009,20.159285238591135,39.6558066351752,drafted,42.6,17
12161,Xander Bogaerts,Red Sox,ss,611,561,86.79379885457718,25.25194392563988,85.2096008075604,8.70986361876182,0.2875,5.933039205664483,19.928989889469076,39.20278720885735,drafted,35.05,24
10324,Marcell Ozuna,NA,of,610.5,551.5,85.04870375378037,32.598533096747644,99.40065405007918,3.9106041408062118,0.2773333333333333,5.894513851575415,19.7995838017095,38.94822943397232,drafted,48.43,26
5417,Jose Altuve,Astros,2b,609.5,558.5,88.14192217164877,22.147632044253037,74.78225622358799,12.020894580826873,0.2828333333333333,5.8598318839818955,19.68308759166284,38.7190669847751,drafted,98.6,25
