Name,Team,position,dollar_value,NFBC_ADP,predicted_adp,net_value
Matt Andriese,Red Sox,pitcher,-0.6200000000000007,711.46,569.7031997024795,141.7568002975205
Grant Holmes,Athletics,pitcher,-1.3400000000000003,745.93,604.2576509428668,141.67234905713315
Matt Shoemaker,NA,pitcher,4.6800000000000095,497.66,355.9879824919922,141.6720175080078
Tyler Anderson,NA,pitcher,-0.9000000000000004,718.07,583.1522772138853,134.91772278611472
Robbie Grossman,Tigers,of,6.89871834829599,430.9,296.5826221580203,134.3173778419797
Robbie Grossman,Tigers,of,6.89871834829599,430.9,296.5826221580203,134.3173778419797
Hunter Renfroe,Red Sox,of,8.309840251327138,393.15,260.4269381064622,132.72306189353776
Cole Hamels,NA,pitcher,0.809999999999998,630.15,499.1884774775236,130.9615225224764
Ji-Man Choi,Rays,"1b, dh",3.0406646897782186,537.07,406.1653463186536,130.90465368134647
Sean Doolittle,NA,pitcher,-1.1400000000000003,724.22,594.681187769347,129.53881223065298
Stephen Vogt,Diamondbacks,catcher,-1.0245449759230516,718.27,589.1378456958641,129.13215430413584
Martin Perez,NA,pitcher,-0.27000000000000096,681.8,552.7885991676383,129.0114008323617
Enrique Hernandez,Red Sox,"2b, of",4.321848534696421,492.27,366.4266616518161,125.84333834818386
Brent Suter,Brewers,pitcher,1.98,569.59,443.9278872157208,125.66211278427926
Elias Diaz,Rockies,catcher,5.0160613540114145,472.02,346.7941115100525,125.22588848994747
Nico Hoerner,Cubs,"2b, ss",7.147486210782914,414.66,289.96877078523903,124.691229214761
Albert Pujols,Angels,"1b, dh",-0.3521215295628023,679.76,556.8094344808895,122.95056551911046
Jordan Lyles,Rangers,pitcher,-0.8400000000000004,702.02,580.2682275961372,121.75177240386279
J.P. Crawford,Mariners,ss,7.382658311050379,405.49,283.81964398832616,121.67035601167385
Johnny Cueto,Giants,pitcher,3.2100000000000053,520.32,401.11092376583616,119.20907623416389
Homer Bailey,NA,pitcher,-1.5900000000000003,735.2,616.0230597099603,119.17694029003974
Ty Buttrey,Angels,pitcher,-1.8300000000000005,745.56,627.102224785632,118.45777521436798
Jose Iglesias,Angels,ss,7.900245487762464,387.02,270.5756620121891,116.44433798781085
Anthony Misiewicz,Mariners,pitcher,-1.9300000000000006,748.15,631.7061119807341,116.44388801926584
Chad Pinder,Athletics,of,3.3310019116091794,513.27,397.35478916704625,115.91521083295373
Mitch Moreland,NA,1b,1.3418987184201465,589.39,473.80478820372036,115.58521179627962
Collin McHugh,NA,pitcher,-1.7800000000000005,738.54,624.8010901643862,113.73890983561375
Alex Young,Diamondbacks,pitcher,-1.9200000000000006,744.68,631.2453121798637,113.43468782013622
Evan Marshall,White Sox,pitcher,-0.9500000000000004,698.93,585.5556189819522,113.37438101804776
Cesar Valdez,Orioles,pitcher,-0.7100000000000006,686.83,574.0222770013547,112.80772299864532
Chris Stratton,Pirates,pitcher,-1.8100000000000005,738.05,626.1818856500026,111.86811434999731
Jake McGee,NA,pitcher,-1.9800000000000006,745.63,634.0126026998721,111.61739730012789
Sam Selman,Giants,pitcher,-1.9000000000000006,741.9,630.3240913004308,111.57590869956914
Logan Allen,Indians,pitcher,-1.3200000000000003,714.24,603.3020291490258,110.93797085097424
Roman Quinn,Phillies,of,3.9402345477232807,487.78,377.733414547056,110.04658545294399
Phil Maton,Indians,pitcher,-1.3300000000000003,713.12,603.77990580639,109.34009419360996
Will Harris,Nationals,pitcher,-1.1500000000000004,703.95,595.1609175239888,108.78908247601123
Joakim Soria,NA,pitcher,-1.7100000000000004,729.88,621.5758023531175,108.30419764688247
Devin Smeltzer,Twins,pitcher,-1.7800000000000005,732.78,624.8010901643862,107.97890983561376
Lou Trivino,Athletics,pitcher,-0.8800000000000004,689.54,582.1909040589121,107.34909594108785
Kolten Wong,NA,2b,8.129335466337949,370.51,264.85976698812834,105.65023301187165
Daulton Jefferies,Athletics,pitcher,0.7199999999999979,608.37,503.7687435807174,104.6012564192826
Yimi Garcia,Marlins,pitcher,6.80000000000001,403.71,299.26513778989283,104.44486221010715
Elvis Andrus,Rangers,ss,5.064478774661276,448.8,345.5488307632091,103.25116923679093
Dom Nunez,Rockies,catcher,-1.689961087273819,723.49,620.6510743459249,102.83892565407507
Kolby Allard,Rangers,pitcher,-1.5200000000000002,715.22,612.7615300999571,102.45846990004293
Matt Strahm,Padres,pitcher,-1.6600000000000004,717.2,619.2668410194736,97.9331589805264
Franchy Cordero,Royals,of,7.061542702358535,387.71,292.2338678923095,95.47613210769049
Brandon Crawford,Giants,ss,2.764253745807153,509.51,414.39473474399347,95.11526525600652
Chad Kuhl,Pirates,pitcher,0.24999999999999864,622.1,527.5270728949606,94.57292710503941
Anthony Bass,Marlins,pitcher,-0.27000000000000096,645.54,552.7885991676383,92.7514008323617
J.B. Wendelken,Athletics,pitcher,1.2699999999999978,569.61,477.10992675239703,92.50007324760298
Rio Ruiz,Orioles,3b,2.889696352605429,501.39,410.621103502511,90.76889649748898
Peter Fairbanks,Rays,pitcher,3.670000000000007,475.2,386.16939379734504,89.03060620265495
JaCoby Jones,Tigers,of,6.5154389286971055,395.8,307.12840375953107,88.67159624046894
Jackie Bradley Jr.,NA,of,8.565630675667823,342.71,254.48850070188328,88.2214992981167
Jake Diekman,Athletics,pitcher,6.71000000000001,389.8,301.73464784266775,88.06535215733226
David Bote,Cubs,"2b, 3b",3.5538948930341614,477.88,389.9641428231923,87.91585717680772
Eric Lauer,Brewers,pitcher,-1.6400000000000003,704.9,618.3415583590606,86.55844164093935
Tucker Barnhart,Reds,catcher,3.493706626923963,477.24,391.97998184984226,85.26001815015775
Jon Lester,Nationals,pitcher,-0.16000000000000117,631.17,547.3798580329387,83.79014196706123
C.J. Cron,Tigers,1b,9.367367022935126,320.93,237.6307110650425,83.2992889349575
Jose Trevino,Rangers,catcher,3.8324493690976196,462.34,381.0403383151275,81.29966168487249
Pierce Johnson,Padres,pitcher,-1.8800000000000006,709.07,629.4032757002011,79.66672429979894
Danny Duffy,Royals,pitcher,2.9400000000000044,487.32,409.13219505100557,78.18780494899443
Adam Frazier,Pirates,"2b, of",3.421612757180231,471.9,394.4124746857134,77.48752531428659
Austin Adams,Padres,pitcher,-1.2200000000000004,675.44,598.5166905716725,76.92330942832757
Rowan Wick,Cubs,pitcher,0.49999999999999845,590.98,515.0242664129988,75.95573358700119
Michael Wacha,Rays,pitcher,1.429999999999998,545.15,469.6949352538952,75.45506474610477
Isaac Paredes,Tigers,3b,1.3871924138415122,544.29,471.69885293586725,72.59114706413271
Miguel Rojas,Marlins,ss,7.0063649686352205,366.02,293.69580455949074,72.32419544050924
Mike Fiers,NA,pitcher,-0.3300000000000009,627.56,555.728897969614,71.83110203038598
Mike Zunino,Rays,catcher,1.0879329801251507,556.39,485.48902184896,70.90097815103996
Joely Rodriguez,Rangers,pitcher,-1.2200000000000004,668.73,598.5166905716725,70.21330942832753
Mychal Givens,Rockies,pitcher,-1.3300000000000003,673.07,603.77990580639,69.29009419361
Luis Urias,Brewers,"2b, ss",5.525173925040961,402.37,334.03192901100306,68.33807098899695
Emilio Pagan,Padres,pitcher,2.690000000000003,483.85,416.69508601402543,67.15491398597459
Michael Fulmer,Tigers,pitcher,-0.6900000000000007,638.1,573.0620202549767,65.03797974502334
Anthony DeSclafani,Giants,pitcher,3.8800000000000088,444.12,379.57305626763946,64.54694373236055
Kendall Graveman,Mariners,pitcher,-1.4600000000000004,673.9,609.9479194219409,63.952080578059054
Jose Urena,Tigers,pitcher,-1.5200000000000002,676,612.7615300999571,63.2384699000429
Josh Fuentes,Rockies,1b,2.841986920476049,473.32,412.04358192470727,61.276418075292725
Kurt Suzuki,Angels,catcher,2.7819898194685675,472.85,413.85382875152607,58.996171248473956
Matt Wisler,Giants,pitcher,-0.390000000000001,617.29,558.6538355604982,58.63616443950173
Willy Adames,Rays,ss,8.549634211328511,311.41,254.844470040861,56.56552995913901
Joey Lucchesi,Pirates,pitcher,-1.9800000000000006,688.39,634.0126026998721,54.37739730012788
Brandon Belt,Giants,1b,6.64769921899563,353.68,303.45492185347206,50.22507814652795
Nick Wittgren,Indians,pitcher,-0.34000000000000113,605.93,556.2176309313204,49.71236906867955
Renato Nunez,NA,"3b, dh",5.319387233131022,388.78,339.15567969920215,49.62432030079782
Keone Kela,Pirates,pitcher,-1.7500000000000004,670.49,623.4195916782154,47.07040832178461
Starlin Castro,Nationals,2b,7.713569139128869,322.05,275.3024756904425,46.74752430955749
