"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Daulton Varsho","Diamondbacks","97","416","372","96","19","3","14","51","50","33","82","5","11","4",".257",".324",".440",".765",".323","0.2","0.5","1.4","999.0","19918"
"Jordan Luplow","Indians","105","455","396","97","21","2","17","56","58","50","102","5","6","3",".246",".334",".440",".774",".329","2.5","0.1","1.3","999.0","16424"
"Clint Frazier","Yankees","141","609","537","131","27","2","27","77","83","57","162","7","7","3",".245",".324",".451",".775",".327","-3.6","-0.4","1.3","999.0","15983"
"Victor Robles","Nationals","149","644","574","144","30","3","17","74","70","42","146","18","24","9",".251",".320",".402",".722",".308","0.9","1.4","1.3","999.0","18363"
"Stephen Piscotty","Athletics","130","560","499","124","26","1","21","66","71","47","130","7","4","2",".249",".320",".435",".754",".320","-1.4","-0.6","1.3","999.0","13367"
"Wil Myers","Padres","152","658","581","139","29","3","29","83","86","65","197","5","14","5",".239",".318",".446",".764",".323","-2.6","1.4","1.3","999.0","10047"
"Mitch Haniger","Mariners","138","595","517","123","26","2","23","76","67","61","155","9","7","3",".238",".326",".430",".757",".321","-0.1","-0.4","1.3","999.0","14274"
"David Peralta","Diamondbacks","130","560","506","136","28","3","18","65","71","43","121","5","2","1",".270",".331",".443",".774",".327","0.6","-0.3","1.2","999.0","2136"
"Enrique Hernandez","","79","343","301","75","15","2","14","43","43","33","69","3","3","1",".249",".328",".448",".775",".327","-2.0","0.6","1.2","999.0","10472"
"Adam Frazier","Pirates","110","476","426","113","23","2","10","55","46","37","70","6","6","3",".265",".330",".401",".731",".314","-1.1","0.7","1.2","999.0","15223"
"Teoscar Hernandez","Blue Jays","143","616","550","132","25","2","32","80","89","54","194","4","9","4",".240",".311",".467",".778",".325","-2.1","0.2","1.2","999.0","13066"
"Andrew McCutchen","Phillies","138","595","506","125","23","1","25","83","66","73","134","7","8","3",".246",".347",".443",".790",".337","-4.8","-1.2","1.2","999.0","9847"
"Kole Calhoun","Diamondbacks","139","602","520","121","25","2","25","75","74","67","150","7","4","2",".233",".326",".434",".760",".322","2.0","-0.4","1.1","999.0","11200"
"Brett Gardner","","110","476","414","99","18","4","13","55","51","51","101","5","9","3",".240",".328",".399",".726",".313","1.3","1.7","1.1","999.0","9927"
"Franchy Cordero","Royals","99","427","384","100","21","3","16","52","55","33","120","4","8","4",".260",".322",".452",".774",".326","-1.2","1.0","1.1","999.0","14567"
"Nick Solak","Rangers","131","567","505","133","23","2","18","66","66","48","123","7","9","4",".264",".334",".423",".758",".323","-2.3","0.6","1.1","999.0","19294"
"Trey Mancini","Orioles","120","518","462","121","22","1","23","68","69","44","123","6","2","1",".262",".332",".467",".799",".335","0.0","-0.4","1.1","999.0","15149"
"Mauricio Dubon","Giants","128","553","508","136","25","2","14","60","61","32","97","4","11","5",".267",".313",".407",".720",".306","-2.3","0.3","1.1","999.0","16530"
"A.J. Pollock","Dodgers","133","574","520","128","26","2","26","73","79","39","132","8","8","3",".247",".308",".456",".764",".319","-1.4","0.4","1.1","999.0","9256"
"D.J. Stewart","Orioles","94","406","350","86","16","1","17","51","52","46","102","5","5","2",".245",".339",".447",".786",".334","-1.3","0.2","1.0","999.0","17766"
"Alex Kirilloff","Twins","118","511","467","129","25","2","17","64","66","32","95","5","7","3",".277",".327",".448",".776",".327","0.0","0.4","1.0","999.0","sa917929"
"Victor Reyes","Tigers","130","560","521","143","25","4","12","65","54","27","114","4","17","6",".274",".313",".406",".719",".305","4.5","0.4","1.0","999.0","15487"
"Dominic Smith","Mets","134","581","523","132","30","1","24","71","78","45","140","7","3","1",".252",".317",".453",".771",".324","-4.8","0.0","1.0","999.0","15653"
"Robbie Grossman","","120","518","440","111","24","2","13","62","54","67","102","5","10","4",".251",".353",".404",".757",".327","-2.0","-0.1","1.0","999.0","5254"
"Myles Straw","Astros","120","518","456","116","19","3","5","58","44","51","110","4","27","9",".254",".331",".339",".670",".295","-2.3","2.2","1.0","999.0","17620"
"Khris Davis","Athletics","130","560","490","114","20","1","32","72","83","56","159","8","1","0",".233",".319",".470",".789",".330","0.0","-1.8","1.0","999.0","9112"
"Kevin Pillar","","121","525","488","126","28","3","15","59","62","24","91","7","10","4",".258",".300",".421",".722",".303","0.0","1.6","1.0","999.0","12434"
"Corey Dickerson","Marlins","133","574","528","141","30","3","20","67","70","35","106","4","5","2",".267",".315",".451",".766",".320","-1.8","-0.7","0.9","999.0","10762"
"Jon Berti","Marlins","109","469","409","99","19","2","9","52","40","46","110","8","19","6",".241",".326",".360",".686",".300","-0.9","2.2","0.9","999.0","12037"
"Charlie Blackmon","Rockies","136","588","527","150","29","4","24","81","77","46","112","8","6","3",".284",".348",".489",".837",".349","-3.8","-0.1","0.9","999.0","7859"
"Tony Kemp","Athletics","94","406","358","90","17","3","6","45","38","36","64","6","9","4",".251",".327",".364",".691",".300","-0.8","0.0","0.9","999.0","14894"
